image,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,077,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
C0007,✘,이노참치,␣,✘,소년들에게,␣,충청남도 금산군 금성면 상탄길 11 (화림리),실장,✔,␣,충청북도 괴산군 괴산읍 능촌로2길 4 (능촌리),✘,✘,봉리에,062-6333-8215,02-922-8556,✘,✔,✘,✘,✘,✔,✔,시설물 유지관리 공사업,✘,✘,✔,✔,mlwhw0orjqq,✘,␣,전라남도 고흥군 남양면 중와길 13-3 (대곡리),임홍비,✘,✘,✘,✘,✔,010-3773-8910,✘,✘,과정에서,✔,✔,✘,✔,␣,✘,✘,✘,✘,17,침애,✘,15,✘,✔,✘,✘,✘,✔,␣,크래프톤,51324긴,1913/2/26,␣,1944536354,1983,✘,✘,✘,✔,✘,✘,✘,✘,✔,✔,✘,✘,✘,✔,APRT19,PAZQ61F,725-34-44392,1264150167,✘,✘,✘,✘,✘,영국,ameritech.net,✔,✘
C0008,✘,␣,␣,✔,있다.,HEO JINMOG,인천광역시 연수구 청학동 540-13 (청학빌라),본부장,✘,376-24-07264,␣,✔,✔,천낸시,02-548-7744,042-9040-6973,✘,✘,✘,✘,✘,✘,✘,상품 중개업,✘,✔,✔,✘,␣,✘,2008.8.3,␣,갈다회,✘,✘,✔,✘,✘,␣,✘,✘,␣,✘,✘,✘,✔,2019,✔,✔,✘,✘,27,␣,✘,␣,✘,✔,✘,✘,✘,✘,부산광역시 기장군 정관읍 예림길 28-7 (예림리),파두,␣,1992.10.23,041-5538-8243,9150050976,␣,✘,✘,✔,✘,✔,✘,✘,✘,✘,✔,✔,✘,✘,✔,APRT19,P2ETER2,␣,1320967470,✘,✘,✔,✘,✘,␣,␣,✔,✘
C0009,✔,보드코리아 뚝섬점,8I5FA4D386,✘,신미하여,␣,"서울특별시 송파구 백제고분로32길 46-28 (삼전동, 현도빌라트Ⅲ)",인턴,✘,101-83-49684,경기도 안성시 삼죽면 달골길 23-13 (용월리),✘,✘,범금나,042-161-6687,033-6749-9175,✘,✔,✔,✘,✘,✘,✘,기타 식료품 제조업,✔,✘,✘,✔,␣,✔,1924-04-06,경기도 양평군 용문면 광탄리 10-9,탁항서,✘,✔,✘,✘,✘,010-6451-3688,✘,✔,그,✔,✔,✘,✘,␣,✘,✘,✔,✘,␣,않은,✘,␣,✘,✔,✘,✔,✘,✔,"경기도 파주시 평화로348번길 102 (검산동, 신성그린타운)",한국화장품 제약사업부,␣,2006-03-04,␣,1377691478,3499,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,PGAQXYB,␣,9750259507,✘,✘,✔,✔,✘,페루,cbu.ac.kr,✔,✘
C0010,✘,␣,J9GU3VXCRE,✘,␣,PYO JASEON,␣,부사장,✘,497-88-83903,대구광역시 군위군 소보면 서경리 582,✔,✔,␣,02-443-1586,055-7251-9440,✘,✔,✘,✘,✘,✘,✔,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",✘,✘,✘,✔,rkafoantag5e,✔,1922년 2월 15일,␣,성동요,✘,✘,✔,✘,✘,␣,✘,✘,나비수염,✘,✘,✔,✘,␣,✘,✘,✔,✘,28,데서,✔,17,✘,✔,✔,✘,✘,✘,␣,␣,␣,1955-03-10,053-6689-1572,9488616865,3089,✘,✔,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✔,✔,APRT19,P03GL59,483-30-68099,9543193421,✔,✘,✘,✘,✘,불가리아,dartmouth.edu,✔,✔
C0011,✘,도향촌,R3PVPE020R,✔,말려서,MO DANDI,광주광역시 남구 군분로120번길 3-2 (월산동),실무자,✘,567-79-10545,전라남도 완도군 금일읍 충동리 124-1,✔,✘,가성라,␣,␣,✔,✘,✘,✘,✘,✘,✔,"과실, 채소 가공 및 저장 처리업",✘,✔,✘,✔,␣,✘,1947.6.1,경상남도 진주시 미천면 오방로 793 (오방리),곽서임,✘,✘,✘,✘,✘,010-0158-4027,✔,✘,몹시,✘,✔,✘,✘,␣,✔,✘,✔,✘,16,과일에서,✘,␣,✘,✘,✔,✔,✘,✘,␣,KM엔터테인먼트,마루.,2038-05-16,␣,1673390211,4638,✘,✔,✔,✘,✘,✘,✔,✘,✘,✔,✔,✘,✔,✘,APRT19,PVEVZ6Q,954-02-44590,9062885343,✘,✘,✘,✘,✔,튀르키예,␣,✘,✘
C0012,✘,중랑 청소년 체험의 숲 운영센터,␣,✔,수,HEO YUL-A,␣,프로젝트 매니저,✘,053-73-81417,서울특별시 강서구 금낭화로1길 9-8 (방화동),✘,✘,육성태,052-2208-1993,␣,✘,✘,✘,✔,✘,✘,✘,"게임용구, 인형 및 장난감 소매업",✘,✘,✔,✘,␣,✔,1966.4.19,충청남도 공주시 교동 186,원권능,✘,✔,✘,✘,✘,010-4075-5674,✘,✘,집씩,✘,✘,✔,✘,␣,✘,✘,✘,✔,␣,막음.,✔,␣,✘,✘,✔,✘,✘,✔,부산광역시 해운대구 해운대로 1134-2 (송정동),AIA건강+암보험,있음.,␣,043-2776-1485,9425732450,␣,✘,✔,✘,✔,✘,✘,✘,✘,✔,✘,✔,✘,✘,✘,APRT19,P7DZZSD,934-16-85977,9927472900,✘,✘,✔,✘,✘,␣,luther.edu,✘,✘
C0013,✘,␣,CJ3EJHNT07,✘,사업.,␣,충청남도 공주시 우성면 대성리 553-6,␣,✔,533-45-36943,전북특별자치도 전주시 덕진구 상리로 7 (팔복동2가),✘,✘,양다우리,054-1025-4800,055-3306-0884,✘,✔,✘,✘,✔,✘,✘,편조의복 제조업,✔,✘,✘,✘,gxcdecm3mff,✔,␣,␣,추젠나,✘,✘,✘,✔,✘,010-8211-0003,✘,✘,것도,✘,✘,✘,✔,␣,✔,✘,✘,✘,25,하나,✘,␣,✘,✔,✘,✘,✘,✔,␣,유코카캐리어스,명나라,␣,␣,1193335852,␣,✘,✔,✔,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,PMHB53S,582-12-41891,1056602794,✘,✘,✔,✘,✔,이란,freechal.com,✔,✘
C0014,✘,␣,ODA4K7L860,✘,␣,SANG CHAM,전라남도 영암군 신북면 과원동길 42-72 (갈곡리),CFO,✘,333-95-64192,서울특별시 금천구 독산로65길 28 (독산동),✘,✘,␣,052-7533-0649,063-4598-1578,✘,✔,✘,✘,✘,✘,✘,␣,✘,✔,✔,✘,xt771_lt7g62v,✔,2049.10.31,경상남도 거제시 장목면 외포3길 14-1 (외포리),선우상덕,✔,✘,✘,✘,✔,010-5459-7978,✘,✘,␣,✘,✘,✔,✘,2023,✔,✘,✘,✘,17,␣,✔,2,✘,✘,✘,✘,✘,✘,경상북도 상주시 청리면 수선로 143 (청하리),대한제강,댐.,2034/10/23,041-3046-9572,1886762844,3079,✔,✔,✘,✔,✔,✘,✘,✔,✘,✔,✘,✘,✔,✘,APRT19,PHCN3OI,573-74-41478,9936260047,✔,✔,✘,✘,✘,방글라데시,cbu.ac.kr,✔,✘
C0015,✔,노랑통닭 서울상암점,4EUBX5QAZS,✔,␣,␣,전라남도 광양시 광양읍 덕례리 1665-3,부사장,✘,␣,경상남도 남해군 서면 남상리 1638,✘,✘,␣,02-929-8140,063-8378-4359,✘,✘,✘,✘,✘,✘,✘,1차 플라스틱제품 제조업,✘,✔,✘,✘,␣,✔,␣,서울특별시 양천구 신정동 955-10,최영두,✘,✘,✘,✘,✘,010-7147-5440,✔,✘,␣,✔,✘,✔,✘,2023,✔,✘,✘,✔,29,␣,✘,20,✘,✔,✘,✘,✔,✔,경기도 김포시 월곶면 개곡리 284-20,서울우유,제초제로,2027/10/6,042-8465-1624,1309698840,␣,✘,✘,✘,✘,✔,✘,✘,✘,✘,✘,✔,✔,✘,✔,APRT19,PLSTS23,931-89-48964,1247853774,✘,✔,✘,✘,✘,스리랑카,javeriana.edu.co,✘,✔
C0016,✘,줄라이,WIK8DDGY32,✘,모이는,␣,경상남도 창녕군 영산면 장척길 23 (신제리),부사장,✘,175-10-99670,␣,✘,✘,좌례은,055-2483-9628,␣,✘,✘,✔,✘,✘,✔,✘,␣,✘,✘,✔,✘,jeg1-.3t7v,✘,1921.07.24,부산광역시 해운대구 우동 479-10,엄신지,✘,✔,✘,✘,✘,␣,✔,✘,␣,✘,✔,✘,✔,2018,✘,✘,✘,✘,␣,용어.,✔,3,✔,✘,✘,✘,✔,✘,"전라남도 순천시 수박등1길 18 (생목동, 정보맨서점)",우리들제약,안으로,␣,␣,9732363883,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,✘,✘,✔,✘,✔,APRT19,PLUW42F,␣,9438583118,✔,✘,✘,✔,✔,␣,japanmail.com,✘,✔
C0017,✘,덕원꼬리곰탕방치탕,␣,✔,있었다.,JE GALBEOMLYEOL,경상북도 고령군 우곡면 웃골안길 23 (사촌리),부문장,✘,249-14-13530,경기도 고양시 일산동구 성현로135번길 99-17 (성석동),✔,✔,␣,044-7776-7461,053-7544-8620,✘,✘,✘,✘,✔,✘,✔,생활용수 공급업,✘,✘,✘,✔,hutu2cfa,✔,1900.07.27,대구광역시 달성군 옥포읍 법화길 61-1 (교항리),선풍향,✘,✔,✔,✔,✘,010-6208-1852,✘,✘,전체가,✘,✔,✘,✘,␣,✘,✘,✘,✘,12,연구하는,✔,29,✘,✘,✔,✔,✘,✘,부산광역시 사상구 삼락동 53-28,LS전선,␣,1972년 11월 15일,053-8027-5011,1837834635,␣,✔,✘,✘,✘,✘,✔,✘,✘,✔,✔,✔,✘,✘,✘,APRT19,POWN5KH,149-92-49491,1160058039,✘,✔,✘,✔,✘,슬로베니아,berkeley.edu,✘,✘
C0018,✘,청담면옥함흥냉면,MOHGTZ4QBK,✘,생기는,GIL JO-YEON,␣,␣,✘,␣,"경상남도 진주시 하대로40번길 24 (하대동, 하대한양아파트)",✘,✘,호인애,␣,054-2355-6332,✔,✘,✘,✔,✘,✘,✔,도시 정기 육상 여객 운송업,✘,✔,✘,✘,mozeork-v,✘,1969/2/21,경상북도 경산시 성암로8길 13 (옥산동),␣,✘,✘,✔,✔,✘,010-9550-7387,✘,✘,일.,✔,✔,✘,✔,␣,✘,✘,✘,✔,24,␣,✘,␣,✘,✔,✘,✘,✘,✘,␣,하이에어,␣,2002.6.28,032-8969-0609,9956692032,␣,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✔,✘,✘,✘,APRT19,PRJCE90,␣,9082421166,✘,✘,✘,✔,✘,마카오,␣,✘,✘
D0000,✘,봉추찜닭 압구정로데오점,87CI0GCX88,✘,딱,␣,경기도 남양주시 수동면 송천리 21-25,회장,✔,174-92-80305,충청남도 공주시 태봉동 440-3,✔,✔,홍지정,054-5360-1650,063-7405-1301,✘,✘,✘,✘,✘,✔,✔,␣,✔,✘,✘,✘,m4m-tn8v68pt,✘,␣,␣,제상윤,✘,✘,✘,✘,✘,010-3542-5311,✘,✘,맡아보던,✔,✘,✔,✘,␣,✘,✘,✔,✔,␣,␣,✔,2,✘,✘,✔,✘,✘,✔,제주특별자치도 제주시 애월읍 신엄리 1703,␣,돌리는,1928-02-21,031-1096-6920,␣,4408,✔,✘,✔,✔,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,APRT19,PIE53FM,755-32-38121,1669508118,✘,✘,✘,✘,✘,홍콩,kent.edu,✘,✔
D0001,✔,뚜르뒤뱅,18YDTBKY7U,✘,배맹하다,BEOM TAENA,충청남도 부여군 은산면 충의로673번길 18 (은산리),␣,✘,710-22-59562,전북특별자치도 남원시 대산면 운교리 915,✘,✔,␣,033-9552-2046,042-7093-8230,✔,✔,✔,✘,✘,✘,✔,그 외 기타 협회 및 단체,✘,✘,✘,✘,ixlhi29gc0,✔,1932-08-09,충청남도 홍성군 구항면 구항길 23-16 (오봉리),도여울,✘,✘,✔,✘,✔,010-1627-0159,✔,✘,␣,✔,✘,✘,✔,␣,✔,✘,✔,✔,28,심을,✔,28,✘,✘,✘,✘,✘,✔,␣,한국백혈병소아암협회,일.,1981-01-10,043-4869-9154,␣,1950,✔,✔,✘,✘,✘,✔,✔,✘,✘,✘,✘,✘,✘,✘,APRT19,P3SRB4H,529-39-40210,9354333610,✘,✘,✔,✔,✘,아프가니스탄,␣,✔,✘
D0002,✘,피즈소셜클럽,␣,✘,␣,␣,강원특별자치도 정선군 남면 낙동뒷내길 28 (낙동리),사원,✔,␣,␣,✔,✔,육찬결,032-461-0863,061-3223-8424,✘,✔,✘,✔,✘,✘,✘,자연과학 연구개발업,✘,✔,✔,✔,yeglr9s5m,✘,2017.12.09,경상남도 창원시 진해구 여좌동 760-21,당재찬,✔,✘,✘,✘,✘,010-1134-1961,✘,✘,연체동물의,✘,✘,✘,✘,␣,✘,✔,✔,✘,13,대다.,✔,␣,✘,✘,✘,✘,✘,✔,제주특별자치도 제주시 벌랑서길 6 (화북일동),␣,경우를,␣,␣,1723344650,1156,✘,✘,✘,✘,✘,✘,✘,✘,✔,✔,✘,✔,✘,✔,APRT19,PKER0OK,␣,9663191563,✘,✔,✔,✘,✘,브루나이,␣,✔,✘
D0003,✘,␣,F5QLN59EUP,✔,␣,GWAG SAELA,충청남도 논산시 양촌면 인천리 130-7,␣,✘,␣,␣,✘,✔,위레니,052-8941-2179,␣,✘,✘,✘,✘,✘,✔,✔,병원,✘,✔,✘,✘,ssaf23bz,✘,1967/4/14,전북특별자치도 남원시 향교동 447-1 (㈜대상청정원),목제니퍼,✔,✘,✘,✔,✘,010-1003-7216,✘,✘,␣,✘,✘,✘,✘,2007,✘,✘,✘,✔,10,애호박을,✘,20,✘,✘,✘,✘,✔,✘,전라남도 영광군 대마면 복평리 37,대우전자,1956년에,1995.2.27,054-5218-9129,␣,␣,✘,✔,✔,✘,✘,✘,✘,✔,✔,✘,✘,✔,✔,✘,APRT19,␣,491-16-17774,9930531964,✘,✘,✘,✘,✔,␣,␣,✔,✔
D0004,✔,쌍다리돼지불백,R8RF8U4LBH,✔,느낄,GEUM LA-UL,␣,실장,✔,044-32-89064,경기도 고양시 덕양구 고양동 319-1 (나성그린타운),✘,✔,␣,032-9438-7521,␣,✔,✘,✘,✘,✘,✔,✘,건축용 플라스틱제품 제조업,✘,✘,✘,✘,␣,✘,1995/7/26,경상남도 합천군 삼가면 소오2길 18-5 (소오리),␣,✔,✘,✘,✘,✔,010-7483-4783,✔,✘,␣,✘,✘,✘,✘,2013,✘,✘,✘,✔,␣,바다.,✘,12,✘,✘,✘,✘,✔,✘,경기도 시흥시 정왕동 1561-3,␣,유행하는,1959/11/27,033-2209-6441,␣,␣,✔,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,✘,✔,✔,APRT19,P10NK4J,496-15-55197,␣,✘,✘,✔,✔,✘,슬로베니아,asia.com,✘,✔
D0005,✔,토성산성어울길,GRRT8YELF1,✔,급인,IN LANI,울산광역시 남구 정광로21번길 16 (무거동),센터장,✘,760-45-18555,␣,✔,✘,추야스민,055-7433-7799,052-1150-0770,✘,✔,✘,✔,✘,✔,✘,␣,✘,✔,✘,✘,ihlkq_jqaxm-,✔,1985년 11월 6일,␣,␣,✘,✘,✘,✘,✘,010-1267-6757,✔,✔,위험을,✘,✔,✘,✘,2029,✘,✔,✘,✔,9,입체.,✘,17,✘,✘,✔,✘,✘,✘,부산광역시 영도구 아리랑4길 82 (신선동1가),␣,자유.,2050.10.26,061-8548-7519,9468894942,␣,✘,✔,✔,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✘,APRT19,PVZM9MT,943-80-79490,9805414024,✘,✘,✘,✘,✘,파키스탄,oakland.edu,✘,✘
D0006,✘,␣,T7FYH1MB28,✘,␣,SANG SILIN,대구광역시 달서구 중흥로4길 125 (송현동),부장,✘,884-34-08196,충청남도 천안시 동남구 봉명동 30-56,✘,✘,김권,054-2045-7031,061-7420-5421,✘,✘,✘,✔,✔,✘,✘,"음반 및 비디오물, 악기, 오락 및 경기용품 도매업",✔,✘,✘,✘,jd.cdb6y41gc3,✘,␣,␣,심민행,✘,✘,✘,✘,✘,010-8121-7170,✘,✘,봄.,✘,✘,✔,✘,2033,✘,✔,✘,✘,35,주면서,✔,3,✔,✘,✘,✘,✘,✘,␣,한국케이블TV푸른방송,␣,1931.05.20,␣,9187554006,2888,✘,✘,✔,✔,✘,✘,✘,✘,✘,✔,✘,✘,✘,✔,APRT19,PEJ22KU,932-51-74477,1465958475,✔,✘,✘,✔,✘,␣,␣,✔,✘
D0007,✘,바다회사랑,HM6ZO2B4TI,✘,␣,␣,인천광역시 남동구 소래로154번길 69-227 (논현동),COO,✔,␣,␣,✘,✘,␣,␣,032-9361-7456,✘,✘,✘,✔,✘,✘,✘,기타 전문 서비스업,✔,✘,✘,✔,qfval.cnlesd,✘,2037.06.27,␣,기교민,✔,✘,✘,✘,✘,010-1614-2590,✔,✘,␣,✔,✘,✘,✘,␣,✔,✘,✘,✔,15,␣,✔,3,✘,✘,✔,✘,✘,✔,␣,한국트린지오,말로.,1985-12-31,054-1007-0897,1185134731,2106,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,APRT19,␣,␣,␣,✔,✘,✘,✘,✔,몬테네그로,␣,✔,✘
D0008,✔,␣,␣,✘,␣,HYEONG SEOLAN,경상남도 거제시 문동4길 81-47 (문동동),␣,✔,␣,경기도 용인시 기흥구 중동 907-3,✘,✔,길아겸,␣,062-4259-1935,✘,✘,✔,✘,✘,✘,✔,␣,✔,✘,✘,✘,amzeuz25,✘,2036년 1월 1일,대구광역시 북구 서변로9길 13-3 (서변동),남하본,✘,✔,✘,✔,✘,␣,✘,✔,개피떡.,✘,✘,✔,✘,2001,✘,✘,✘,✘,26,존대를,✔,7,✘,✘,✔,✘,✔,✔,경기도 이천시 신둔면 수하리 229,카카오VX,지역을,1941년 8월 21일,␣,1404502030,4878,✔,✔,✘,✔,✘,✘,✘,✔,✔,✘,✘,✘,✘,✘,APRT19,PRWZ2S3,210-02-93647,␣,✘,✘,✘,✘,✘,␣,empas.com,✘,✔
D0009,✘,쿠오카 성수,KV6QJ9QM0F,✔,113.,␣,␣,␣,✘,595-24-59851,경기도 안성시 죽산면 두교리 611,✘,✘,배나교,032-1518-4131,062-9121-6065,✘,✔,✘,✘,✔,✔,✘,가금류 및 조류 사육업,✘,✘,✔,✘,␣,✔,␣,경상남도 창원시 의창구 대산면 대산북로893번길 38 (북부리),␣,✔,✘,✘,✘,✘,010-5541-6819,✔,✘,이르는,✘,✔,✘,✔,2036,✘,✘,✘,✘,␣,수,✔,␣,✔,✘,✔,✔,✘,✘,강원특별자치도 홍천군 내면 율전리 215-6 (산촌체험관),우리들제약,␣,2025년 7월 29일,044-1630-7255,9860931981,2965,✘,✘,✔,✘,✔,✔,✘,✘,✘,✘,✘,✔,✔,✘,APRT19,P1UILBE,407-85-32168,1341791143,✘,✔,✘,✘,✔,␣,␣,✘,✘
D0010,✔,␣,A7NZD48U4J,✘,수수를,YEOM SEO-EL,서울특별시 은평구 신사동 340-4,␣,✘,338-98-88890,전라남도 순천시 별량면 장학길 45 (송학리),✘,✘,이휘란,041-4090-6927,␣,✘,✘,✘,✘,✘,✘,✘,산업용 유리 제조업,✘,✘,✔,✘,rcl1m142.gite,✔,1922.08.13,경상북도 포항시 북구 죽도동 12-6,홍아이리,✔,✔,✘,✔,✔,010-2983-4382,✘,✔,␣,✘,✘,✘,✘,␣,✘,✘,✘,✘,21,따위의,✘,12,✘,✘,✘,✘,✔,✘,전북특별자치도 임실군 청웅면 남산리 484,␣,용체상,1931.05.20,063-269-7354,1560791131,4160,✘,✘,✔,✘,✘,✘,✔,✔,✘,✘,✘,✘,✘,✘,APRT19,PCZMS7T,␣,␣,✔,✔,✘,✔,✘,네팔,biz.net,✘,✘
D0011,✘,␣,YXZWF8JMLO,✘,␣,␣,대구광역시 달성군 가창면 용계리 233-7,부문장,✘,␣,"인천광역시 서구 건지로318번안길 19 (가좌동, 태인빌라)",✔,✘,␣,054-4706-4779,042-6823-6819,✘,✔,✘,✔,✔,✔,✔,조경관리 및 유지 서비스업,✘,✘,✘,✘,z1-qit8n,✔,1935년 5월 21일,␣,손테이,✘,✘,✘,✘,✘,␣,✔,✘,생질을,✘,✘,✘,✘,2026,✘,✘,✘,✘,␣,하나.,✘,8,✘,✘,✘,✘,✘,✘,전라남도 화순군 동면 충의로 952-7 (오동리),에코프로비엠,진,2024.02.18,02-536-1222,␣,2882,✘,✘,✔,✔,✘,✘,✘,✔,✘,✔,✔,✘,✘,✔,APRT19,PTK4GYI,273-55-48111,9215275230,✔,✘,✘,✔,✘,세르비아,bolt.com,✘,✘
D0012,✔,서지,X7B20HL5CJ,✘,물이나,␣,전라남도 보성군 벌교읍 고정길 3 (회정리),COO,✘,471-44-67562,경상남도 진주시 대평면 내촌리 745,✘,✔,␣,␣,031-8958-0440,✘,✘,✔,✘,✘,✘,✘,␣,✘,✘,✘,✘,bf0nik.88,✘,2039-11-18,전라남도 담양군 가사문학면 인암길 34 (인암리),기조휘,✔,✔,✘,✘,✘,010-6981-0834,✘,✘,짚는,✘,✘,✘,✔,2018,✘,✘,✘,✘,17,기관의,✘,␣,✘,✘,✘,✘,✘,✔,경기도 양평군 용문면 다문북길 59-10 (다문리),CJ제일제당,␣,2013.1.16,␣,1104283133,␣,✔,✘,✔,✔,✘,✘,✔,✘,✘,✘,✔,✔,✘,✘,APRT19,PUA7VFJ,␣,9446304611,✔,✘,✔,✔,✔,투르크메니스탄,iit.edu,✘,✘
D0013,✘,서울 도심 등산관광센터(북악산),␣,✔,성교하는,␣,전북특별자치도 군산시 상신2길 9-7 (나운동),CEO,✘,966-31-65721,␣,✘,✘,윤리향,043-4936-0298,␣,✘,✘,✘,✘,✘,✔,✘,수상오락 서비스업,✘,✘,✘,✘,dt0s.su844h,✔,␣,␣,장다흘,✘,✘,✘,✘,✘,010-5243-6495,✘,✔,민청의,✘,✔,✘,✘,2011,✔,✘,✔,✘,11,␣,✘,␣,✘,✔,✘,✘,✘,✘,␣,서전지구,콜럼버스가,1967년 2월 25일,054-9322-0122,9403001205,2809,✔,✘,✘,✘,✘,✘,✔,✔,✘,✔,✔,✘,✔,✘,APRT19,PEUGHJ1,249-30-83658,1290967090,✔,✘,✘,✘,✘,포르투칼,apple.com,✘,✘
D0014,✘,␣,IBFA253XLB,✘,해서,SEON UCHAMI,부산광역시 영도구 한사랑길 38 (영선동2가),이사,✘,␣,서울특별시 서초구 서초대로73길 7 (서초동),✘,✘,간광태,062-6247-6627,054-5061-4117,✘,✔,✔,✘,✘,✔,✘,기타 가죽제품 제조업,✘,✘,✔,✔,xe9bimj,✘,␣,"경상남도 함안군 칠서면 공단서3길 37 (대치리, 한국티앤에스(주))",강푸름,✔,✘,✔,✘,✘,␣,✘,✔,다시,✘,✘,✘,✘,2026,✘,✔,✘,✘,10,기관에,✘,␣,✔,✘,✘,✘,✘,✘,경기도 고양시 덕양구 내유길 116 (내유동),소니코리아,다,1958/8/2,043-5693-8746,␣,2138,✔,✔,✘,✔,✔,✘,✘,✔,✔,✔,✘,✘,✔,✔,APRT19,PVNYE3E,129-79-74817,9049293131,✘,✘,✘,✘,✘,헝가리,␣,✘,✘
D0015,✔,␣,ESK0YYH8HR,✔,한곳으로,GA BEOMGI,␣,사장,✔,189-82-43629,␣,✘,✘,노환민,␣,041-4162-4148,✔,✘,✘,✘,✘,✔,✔,␣,✘,✘,✔,✘,␣,✘,1918년 3월 13일,전라남도 순천시 낙안면 교촌길 92 (교촌리),황보라건,✔,✘,✘,✘,✘,010-6532-4100,✘,✘,␣,✔,✘,✘,✘,␣,✘,✘,✘,✘,␣,가격.,✘,␣,✘,✘,✘,✔,✔,✘,경상북도 경주시 보문마을5길 43 (보문동),다솜투어,양쪽의,2004/9/23,␣,1652157254,1854,✘,✘,✘,✘,✘,✔,✘,✘,✘,✔,✘,✘,✔,✘,APRT19,PLJZVGK,055-95-63002,9129659532,✘,✔,✘,✔,✘,␣,ou.edu,✔,✘
D0016,✘,다락정,␣,✘,겸하는,HYEONG GYEJA,인천광역시 남동구 간석동 774-15 (현대빌라),파트장,✘,918-46-96270,␣,✘,✘,황보률희,064-5386-5947,044-7651-1505,✘,✘,✘,✘,✘,✔,✔,플라스틱 발포 성형제품 제조업,✘,✘,✘,✘,␣,✔,␣,인천광역시 옹진군 자월면 자월리 1108-1,금시량,✘,✘,✔,✔,✔,010-4648-4470,✘,✘,␣,✘,✔,✘,✘,2023,✘,✘,✘,✔,36,계수의,✘,17,✘,✘,✘,✘,✘,✔,경상남도 밀양시 부북면 사포중앙1길 4-5 (전사포리),한국치맥산업협회,방선문을,1901.08.10,063-4272-1546,␣,3452,✘,✘,✘,✔,✔,✘,✘,✔,✘,✘,✔,✔,✘,✘,APRT19,␣,␣,␣,✔,✘,✘,✘,✘,인도네시아,blueyonder.co.uk,✘,✔
D0017,✘,␣,8LZFCC962E,✘,일.,␣,␣,전무,✘,␣,␣,✘,✘,송나디아,␣,␣,✔,✘,✘,✘,✔,✘,✘,␣,✘,✘,✔,✘,ps2kdxo2,✘,2024년 11월 30일,경상북도 영천시 완산동 926-7,선연식,✘,✘,✔,✘,✘,␣,✘,✘,또는,✔,✔,✘,✔,2032,✘,✘,✘,✘,19,빼앗다[1],✘,␣,✔,✔,✘,✘,✔,✘,␣,␣,전,␣,032-8018-9875,1446167514,2992,✘,✘,✔,✘,✔,✘,✘,✘,✘,✘,✘,✘,✘,✘,APRT19,POPK9DW,␣,1254857569,✘,✘,✘,✘,✘,영국,monash.edu,✘,✘
D0018,✘,55°와인앤다인,GYKK21TMD7,✔,␣,MAENG BI,␣,연구원,✘,420-77-38443,␣,✔,✘,감미쉘,064-3821-2527,␣,✘,✔,✔,✘,✔,✔,✘,도축업,✔,✘,✘,✘,se2ub0vf,✘,␣,인천광역시 중구 운서동 2850-10 (합동청사역),현초롬,✔,✘,✔,✔,✔,010-7073-1428,✘,✘,기련01,✘,✘,✘,✘,␣,✘,✔,✘,✘,␣,␣,✘,␣,✔,✘,✘,✔,✘,✘,␣,명인제약 메이킨Q,␣,1987.3.29,033-373-0025,␣,␣,✘,✔,✔,✔,✔,✘,✔,✘,✘,✘,✔,✘,✘,✘,APRT19,␣,570-87-70842,␣,✘,✔,✘,✔,✘,␣,␣,✘,✘
D0019,✘,케르반 레스토랑,␣,✔,군사나,YE ELLI-A,␣,␣,✘,192-64-43496,전라남도 나주시 노안면 유곡리 61-1,✔,✘,박사오리,031-3150-6947,02-547-5277,✘,✔,✔,✔,✔,✘,✔,기타 창작 및 예술관련 서비스업,✘,✘,✘,✘,wl8taw_,✔,␣,␣,범애현,✘,✘,✘,✘,✘,010-5645-2463,✔,✘,자유방임,✘,✘,✘,✘,19,✘,✘,✘,✘,␣,만들어,✘,8,✘,✘,✘,✘,✘,✘,전라남도 무안군 무안읍 성동길 25 (성동리),␣,␣,1960년 10월 6일,063-3744-9759,9731202698,4307,✔,✔,✔,✘,✘,✔,✘,✔,✔,✔,✔,✘,✔,✘,APRT19,PC7YHE1,352-37-64537,␣,✘,✘,✔,✔,✘,␣,japanmail.com,✘,✘
