image,015,017,022,002,041,040,050,019,008,052,026,006,042,009,024,045,058,049,020,029,028,064,068,011,072,003,007,001,025,047,063,014,010,060,061,065,051,033,062,032,056,036,043,059,067,016,013,055,023,038,039,018,021,044,037,035,057,069,071,034,053,070,054,030,046,005,000,031,048,066,004,012,027
C0017,␣,✔,062-3181-0498,✔,␣,왜고래,✔,1092225095,010-6514-3038,✘,␣,␣,␣,피에스케이홀딩스,␣,␣,갈향순,✔,␣,032-186-7515,광주광역시 광산구 월곡동 679-10,✘,양여혜,CEO,AJ6OE1Z,✔,␣,2047/2/22,␣,✘,편순혁,043-1999-7329,␣,␣,␣,2019,✘,✘,␣,✔,8,대구광역시 동구 지저동 771-10,␣,✔,19,2009.03.05,서울특별시 동대문구 이문동 264-37,2030,␣,␣,부르뎅아동복,✘,경기도 성남시 수정구 태평동 6033,␣,053-3730-5634,조모,17,✘,1171173440,1549294062,✘,∅,✘,함태휘,8개월,조부모,서그리,␣,✘,3,9371854686,15,10
C0018,염형순,✔,062-8561-0882,✘,␣,␣,✘,9729766520,␣,✘,과장,강원특별자치도 고성군 현내면 철통리 12-1 (대진시외버스터미널),17,␣,에프앤에프엔터테인먼트,"36,780,000",␣,✔,형제,␣,경상북도 칠곡군 기산면 주산로 1236-7 (죽전리),✘,음경언,센터장,A6HHL5X,✘,051-9049-9331,2001/10/22,␣,✔,␣,␣,이념을,2016,␣,␣,✔,✘,␣,✔,3,충청북도 청주시 서원구 남이면 문동리 54,충청남도 태안군 태안읍 서문4길 20-6 (남문리),✔,␣,␣,␣,2020,010-8247-0030,010-8768-9540,n.CH엔터테인먼트,✘,경상남도 통영시 용남면 원문마을1길 22-1 (장문리),␣,055-8425-6368,자매,14,✘,9756351946,9811499686,✘,∅,✘,␣,31개월,딸,장솔현,1972/5/2,✘,6,9309368619,2,17
C0019,동혜나,✘,053-6168-7210,✘,␣,재해.,✘,9629207813,␣,✘,팀장,경기도 용인시 처인구 모현읍 매산리 114-2,26,SNT다이내믹스,␣,"95,230,000",천범모,✘,딸,␣,강원특별자치도 화천군 하남면 춘화로 2610 (거례리),✔,␣,사장,AZ3J4YS,✘,041-6980-5260,1941년 8월 8일,대하여,✘,제영식,051-7925-7850,어슴푸레하다,2015,␣,2030,✘,✘,␣,✘,␣,전라남도 고흥군 풍양면 풍남로 545-10 (송정리),␣,✘,9,␣,강원특별자치도 강릉시 토성로 170-4 (임당동),2029,010-3687-3497,010-9190-9992,␣,✔,␣,032-2360-0902,␣,␣,␣,✘,9811880597,9176637976,✘,∅,✘,김운결,␣,␣,␣,1953년 3월 5일,✔,11,9530327814,30,2
C0020,사공온조,✔,042-5852-4894,✔,센터장,다보록하게,✘,9062465632,␣,✘,COO,경기도 용인시 처인구 백암면 고안리 638-3,13,␣,어도어,␣,형길,✔,손자녀,␣,충청남도 서천군 장항읍 신창리 150-61,✘,␣,파트장,A13XWPL,✘,043-2183-3223,2031년 9월 22일,대명사.,✘,목헌제,␣,닿으면서,2023,5,2022,✘,✘,␣,✘,7,서울특별시 강서구 방화대로50길 45 (방화동),경기도 광주시 직동로 122 (직동),✔,25,␣,␣,2017,␣,010-4215-5879,경남물산,✔,␣,032-4238-5127,␣,␣,1,✔,9341145194,9860802298,✘,∅,✘,␣,␣,아들,범한비,1966년 7월 30일,✘,4,1560033365,9,␣
C0021,범지훤,✘,054-8981-8821,✘,␣,␣,✘,1818145983,010-0887-1251,✘,␣,충청북도 청주시 청원구 율봉로 270 (율량동),1,티몬,펜타비전,1230000,모아라,✔,배우자,061-5781-6880,␣,✔,심겸지,주임,AF05YS6,✔,02-315-0432,␣,깜짝,✔,목백합자,061-733-4253,␣,2028,6,2028,✘,✔,2,✔,␣,충청북도 증평군 증평읍 교동리 77-2,␣,✘,13,1907.3.18,경상북도 경주시 건천읍 모량리 583-20,2023,010-4316-0860,010-8747-2663,농심 신라면,✔,␣,033-9664-3122,043-4446-3087,부,24,✔,1838796657,9717434210,✔,∅,✘,동귀영,12개월,딸,손성임,2026.12.4,✘,␣,9906893891,11,␣
C0022,유건모,✘,061-8087-0754,✔,사장,청소를,✘,1989363131,010-5933-2433,✘,사원,충청남도 보령시 오얏골길 27 (화산동),28,농협,금호전기,"6,960,000",␣,✘,␣,033-3211-2986,"서울특별시 마포구 양화로 160 (동교동, 홍대입구역)",✔,나규단,실무자,AJGY88Q,✘,064-6699-1779,1937.07.19,무형유산,✘,사다회,061-5388-3046,장부를,2026,6,␣,✘,✘,20,✘,2,대전광역시 유성구 교촌동 332-7,서울특별시 마포구 동교로 257 (연남동),✔,␣,1973-02-11,␣,2027,010-5392-9686,010-1928-3093,␣,✘,␣,␣,031-5126-8971,␣,20,✔,9339890940,9394362307,✘,∅,✘,단해나리,15개월,조모,복키라,1984-02-10,✘,2,9914504899,12,␣
C0023,호영림,✘,055-3725-2590,✘,상무,␣,✘,9495054195,010-4828-9662,✘,실무자,경기도 광주시 초월읍 지월리 733-40,␣,두나무,어셔교육그룹,␣,␣,✘,아들,␣,경상북도 포항시 북구 흥해읍 동해대로 1541 (마산리),✔,홍재량,대리,A7JQDQM,✘,064-1659-9892,1929.9.21,또는,✘,␣,044-7522-1716,귀족이,␣,7,2011,✘,✔,6,✔,11,␣,충청남도 아산시 번영로 149 (권곡동),✘,10,␣,␣,␣,010-9892-1450,␣,귀뚜라미,✔,␣,055-7136-5249,␣,본인,␣,✔,1920892857,9946142481,✔,∅,✔,␣,27개월,형제,권선원,1963년 8월 2일,✘,␣,1825475695,␣,␣
C0024,시범모,✘,␣,✔,연구원,␣,✔,9496841094,010-5075-0158,✔,␣,서울특별시 양천구 목동 779-19,␣,␣,한국석유재활용협회,"42,960,000",황보민구,✘,손녀,054-0288-3775,␣,✔,김진자,사원,A9MZWHZ,✘,053-7915-4853,1971-01-16,지껄이다.,✘,␣,055-999-1252,방,2020,7,␣,✔,✘,␣,✔,12,␣,충청남도 서산시 지곡면 무장리 1836,✔,24,␣,␣,2014,010-3743-3680,010-1648-9476,␣,✘,경상북도 김천시 삼애길 99 (신음동),052-6900-8692,043-4740-8121,형제,23,✘,9667419400,9770663128,✘,∅,✔,제갈예함,35개월,␣,팽서중,␣,✘,6,1021451727,22,␣
C0025,라원민,✘,051-3019-6849,✘,부사장,␣,✔,9860174278,␣,✔,␣,␣,7,토니모리,울산항만공사,␣,이연솔,✘,친척,␣,경기도 화성시 장안면 방축말길35번길 78 (수촌리),✘,␣,부장,AYOOPDR,✘,044-7349-8756,2031.03.17,땅을,✘,팽유돈,054-1206-1693,␣,␣,␣,2013,✘,✘,7,✔,11,␣,인천광역시 강화군 강화읍 신문리 624-1 (강화군새마을회),✔,2,1991.06.02,전북특별자치도 전주시 덕진구 덕진동1가 36-5,2026,␣,010-9271-6690,어셔교육그룹,✘,경기도 화성시 기산동 256-6,064-4808-9563,031-5768-5857,모,␣,✘,9975711583,1009376388,✔,∅,✘,봉성광,25개월,손자,지혜금,2049.9.1,✔,3,1834856318,1,9
C0026,좌효영,✘,032-6551-4063,✘,이사,의하여,✘,1754785083,␣,✔,␣,충청남도 청양군 화성면 산정리 172-3,␣,␣,␣,"9,180,000",곽효건,✔,손자,051-6388-0613,강원특별자치도 정선군 고한읍 고한5길 27 (고한리),✘,노창주,␣,AS1DJ8E,✘,␣,␣,갈색이고,✘,␣,043-1541-5624,␣,2022,8,2016,✘,✔,29,✘,4,대구광역시 달성군 구지면 대암리 808-1,␣,✘,20,1977/7/30,"대전광역시 서구 도화공원길 7 (도마동, 도마1치안센터)",2021,␣,010-5561-7666,␣,✔,충청남도 공주시 신기동 780-14,031-6874-7214,␣,조부모,17,✘,9832101913,1541630673,✔,∅,✘,어관,32개월,자녀,함헌규,1950.06.13,✔,9,9397108594,17,␣
D0000,␣,✘,02-946-5069,✔,대리,전,✘,9120701968,␣,✘,부문장,경기도 시흥시 동서로 865-59 (물왕동),18,럽미,VLAST,"12,510,000",신순복,✔,␣,051-8276-2798,경상북도 경산시 압량읍 금구길24길 19-8 (금구리),✘,좌연종,연구원,␣,✘,041-4060-4742,␣,␣,✘,␣,055-3596-0671,␣,2009,␣,2038,✔,✔,10,✔,␣,충청남도 부여군 규암면 금암리 139,경상남도 창원시 마산합포구 월영북로 73 (문화동),✔,␣,1973.01.20,전라남도 목포시 동목포길 12 (용당동),␣,␣,010-9965-5831,인탑스,✘,전라남도 여수시 율촌면 모래목길 39-2 (조화리),055-7728-4574,␣,모,␣,✔,1119096574,9494402525,✘,∅,✔,황보진자,␣,조모,지아녕,1937.6.4,✘,␣,␣,2,19
D0001,␣,✘,063-1950-0932,✘,␣,귀찮은,✘,9712397249,010-4628-4438,✘,␣,␣,3,한국마이크로소프트,역오빠,"78,260,000",변준해,✔,손자녀,061-6833-0627,경기도 파주시 당하동 198-7,✘,변제효,부사장,PX8L5XV,✘,053-2205-9889,1948년 5월 24일,수행하였다.,✘,노림,055-9762-4249,␣,␣,12,2009,✘,✔,19,✘,12,경기도 안산시 단원구 대부동동 79-17,␣,✔,6,␣,"대구광역시 달성군 하빈면 달구벌대로8길 103 (봉촌리, 영진실업)",2006,␣,010-8966-4798,␣,✘,충청북도 음성군 원남면 충청대로465번길 6-1 (보천리),063-3576-2679,043-8811-7931,딸,18,✘,9543318781,9083476906,✘,∅,✘,염채양,13개월,손자녀,목송연,␣,✘,␣,1203547859,␣,22
D0002,여청라,✘,␣,✘,인턴,␣,✔,␣,010-0519-5786,✘,CFO,␣,9,만도,금양,96670000,전규철,✔,␣,␣,경기도 이천시 백사면 현방리 64-1,✘,␣,CTO,PHIWJIR,✘,␣,␣,받는,✘,허나효,053-8159-1929,␣,2034,␣,␣,✘,✘,␣,✘,7,경기도 의정부시 신곡동 571-45,␣,✔,␣,1987.12.5,강원특별자치도 영월군 주천면 바둑골길 19-2 (금마리),2025,010-4165-5657,␣,코카콜라음료,✘,␣,064-1493-6065,041-6862-3506,형제자매,␣,✔,9265327177,9684763564,✘,∅,✘,표주홍,␣,부,우희,1973.1.28,✘,7,␣,15,16
D0003,구영로,✔,␣,✔,␣,␣,✘,9548219229,010-7057-6397,✘,␣,␣,␣,C&D엔터테인먼트,KBS N,"7,530,000",표찬휴,✔,본인,033-1236-6641,부산광역시 사하구 다대동 927-17,✔,방신휘,파트장,␣,✘,055-438-1471,1942.3.24,있다.,✘,유유대,␣,␣,2035,7,␣,✘,✘,15,✘,8,␣,␣,✘,29,␣,␣,2030,␣,010-3446-6261,␣,✘,"서울특별시 성북구 솔샘로14길 23 (정릉동, 부광빌라)",064-6967-5276,␣,형제,14,✔,1274405027,1547188380,✘,∅,✘,빈연석,␣,부,목수영,1967.01.17,✘,4,9367672200,30,␣
D0004,␣,✘,␣,✘,과장,␣,✔,9907594654,010-3118-5079,✘,CTO,대전광역시 유성구 봉명동 666-1,8,␣,␣,␣,␣,✘,형제자매,043-1661-6622,␣,✔,남궁예론,␣,␣,✘,061-9768-0887,1982/8/28,-히로,✘,온병준,02-810-8806,방향이,␣,9,␣,✔,✔,16,✔,8,인천광역시 미추홀구 주안동 24-3,경상북도 칠곡군 가산면 학하리 418-3,✔,24,␣,부산광역시 기장군 일광읍 이천리 810-4,2006,010-8335-6342,010-8725-3433,유디치과,✘,␣,062-3189-0637,␣,기타,17,✘,9549871176,1402309862,✔,∅,✔,온민결,␣,조부,복형율,1963년 9월 1일,✘,2,␣,23,13
D0005,성다찬,✔,044-5627-6987,✘,CIO,␣,✘,9041107631,010-1504-0053,✘,본부장,부산광역시 사상구 새벽로168번길 11-21 (감전동),14,바람둥이오빠,한국콜마,"56,180,000",␣,✘,기타,043-6918-7350,부산광역시 강서구 울만로25번길 25 (대저2동),✘,손화은,COO,PHWMY03,✘,055-8429-2373,1961년 4월 12일,것이,✔,제찬은,041-4086-0325,␣,2039,10,␣,✘,✔,31,✘,10,경기도 하남시 상산곡동 367,부산광역시 기장군 일광읍 일광로 582-40 (신평리),✔,14,1919/11/2,␣,␣,010-3871-2406,␣,포스코케미칼,✘,전라남도 순천시 인월동 54-7,02-747-6127,043-5248-9569,손자,16,✔,9884008863,1724733535,✘,∅,✘,차이른비,6개월,␣,옥승린,1950/3/9,✘,10,9420143045,␣,29
D0006,서문금경,✘,031-9195-6710,✔,␣,␣,✔,9587438813,010-8507-7797,✔,CIO,충청북도 충주시 주덕읍 솔고개로 365 (장록리),␣,␣,␣,"3,780,000",유정교,✔,␣,063-898-1652,서울특별시 성북구 정릉로38바길 7-1 (정릉동),✘,␣,␣,P3NC4YY,✘,043-0518-0200,1999.04.22,사람이나,✘,국아이라,␣,␣,␣,␣,2018,✘,✘,2,✔,8,전북특별자치도 김제시 봉남면 신호리 362-5,경상북도 의성군 구천면 위성리 91,✔,␣,1948-12-09,␣,␣,␣,␣,다우기술,✘,경기도 김포시 통진읍 귀전리 647,055-5055-4119,032-7472-9977,␣,5,✔,1705511116,1639127631,✔,∅,✘,권슬희,␣,배우자,서문봄별,2030-06-04,✘,␣,9337257564,15,18
D0007,견하움,✔,042-5976-6087,✘,␣,␣,✘,9953885402,010-4949-5765,✘,␣,광주광역시 남구 군분로120번길 3-2 (월산동),␣,화승엔터프라이즈,␣,␣,민휘랑,✘,손녀,064-0255-5509,␣,✔,␣,전무,PDMINVW,✘,052-1247-8998,␣,␣,✔,␣,␣,치솟다.,2035,2,␣,✘,✘,8,✔,7,충청남도 아산시 배방읍 월천8길 21-5 (북수리),␣,✘,24,1957/8/6,"충청남도 논산시 은진면 와야길 19-1 (와야리, 화랑원룸)",␣,010-6152-9374,010-8049-4879,코리아익스프레스에어 (헤체),✘,␣,␣,054-4661-6456,␣,␣,✘,␣,␣,✘,∅,✘,함보리,4개월,손자녀,용여선,1925-08-29,✘,1,␣,␣,7
D0008,␣,✘,02-911-3404,✘,␣,␣,✔,1541810248,␣,✔,차장,␣,␣,대신고등학교,타마고프로덕션,"63,970,000",배찬묵,✘,␣,032-6552-6682,␣,✘,␣,대리,P67TZ99,✘,␣,1907.11.6,␣,✔,빈우건,␣,글.,2006,4,2026,✔,✔,2,✘,12,충청남도 예산군 덕산면 수덕사로 788-27 (사천리),경상남도 창녕군 부곡면 진양촌길 14-4 (수다리),✘,␣,2023/8/28,경상남도 합천군 적중면 상부리 182-1,2034,010-9922-3661,␣,␣,✘,충청북도 음성군 삼성면 덕정리 795,␣,␣,모,4,✘,9487368788,1495597130,✘,∅,✘,␣,␣,␣,소혜봄,␣,✘,9,9479279918,␣,␣
D0009,␣,✘,043-5976-9167,✘,차장,형제,✘,9953340092,010-7504-0285,✘,␣,강원특별자치도 태백시 장성동 170-243,27,␣,부라보콘,"7,240,000",당이만,✘,조부,054-8916-6574,경상북도 영주시 문수면 수도리 49,✘,␣,상무,PE8UC7O,✘,␣,␣,하다,✘,라율겸,02-162-2983,부피.,2037,8,␣,✘,✘,␣,✘,2,전라남도 곡성군 고달면 목동1길 5-1 (목동리),경상남도 양산시 상북면 외석1길 50-12 (외석리),✔,2,1950.02.25,전북특별자치도 전주시 덕진구 왜망실1길 12-103 (우아동1가),2032,␣,␣,풍림산업,✘,"경기도 양평군 양평읍 농업기술센터길 19-18 (공흥리, 선연사)",061-4227-2610,033-3535-9794,자녀,19,✔,1006663345,9164236733,✘,∅,✔,␣,15개월,아들,고철휘,2037-05-23,✘,12,␣,28,8
D0010,길창훈,✘,␣,✘,␣,␣,✘,1948239788,010-1226-7216,✘,부문장,인천광역시 남동구 만수동 913-5,13,␣,일양약품,"18,950,000",␣,✔,형제자매,␣,"충청북도 단양군 매포읍 평동17길 10 (평동리, 성화문구)",✔,엄용빈,주임,PPA75RR,✘,032-1861-9083,1980년 6월 5일,싸움질하고,✔,황보비찬,051-2703-2981,␣,2031,2,␣,✔,✘,13,✘,8,서울특별시 노원구 상계로24길 15-7 (상계동),대구광역시 달성군 화원읍 천내리 49-11,✘,4,2033-06-19,경기도 남양주시 진건읍 사릉로 559-102 (신월리),2033,010-4758-8496,010-2941-4733,대한제분,✘,전북특별자치도 군산시 서수면 내무장길 152-19 (축동리),043-6189-5521,␣,자녀,29,✔,␣,1616405178,✘,∅,✔,␣,␣,␣,석이현,␣,✘,10,9257550105,2,4
D0011,␣,✔,02-771-7308,✘,상무,낚싯봉을,✔,␣,010-1449-9418,✘,CFO,경상남도 거제시 연초면 죽토1길 11 (죽토리),14,비에이치,남해화학,␣,원준겸,✘,조부,␣,경기도 부천시 오정구 원종동 338-3 (리치하임Ⅱ),✘,␣,센터장,PKCM7XJ,✘,␣,␣,␣,✔,주금빛나,063-6100-1854,␣,2004,11,2035,✘,✔,␣,✔,10,␣,서울특별시 동작구 흑석동 43-17,✘,␣,␣,충청남도 태안군 안면읍 백사장2길 6-77 (창기리),2032,␣,␣,뮤코펙트,✘,␣,033-9044-8042,␣,␣,␣,✔,␣,1394616716,✘,∅,✔,␣,34개월,␣,권용태,1936.09.28,✔,␣,␣,␣,␣
D0012,표륜지,✔,␣,✘,COO,옆,✘,9615590454,010-5010-7557,✔,부문장,경기도 화성시 팔탄면 시청로677번길 57-6 (율암리),3,유진테크,"서울교통공사 (서울메트로, 서울도시철도공사가 합병하여 생김)","91,930,000",␣,✘,조부,031-9671-1242,경기도 광주시 문형산길185번길 14-3 (신현동),✘,백플린,차장,PGRRO9G,✘,052-7029-0668,1988/3/8,홍의주교,✘,설미람,063-0759-0173,들어와,␣,3,2018,✘,✘,20,✔,␣,␣,␣,✘,␣,2046-08-13,␣,2000,010-5960-8579,010-3219-8525,AOMG,✘,경기도 김포시 양촌읍 김포한강4로265번길 61 (석모리),␣,041-3604-9266,␣,28,✔,1936204209,9874153231,✔,∅,✘,송강열,␣,형제,라라인,1903년 12월 2일,✘,9,␣,␣,13
D0013,전견후,✘,044-775-8758,✔,␣,비녀.,✘,9930607414,010-6522-5589,✘,␣,경기도 이천시 호법면 매곡리 877,␣,삼양사,␣,␣,␣,✘,형제자매,␣,충청남도 금산군 남이면 성곡리 773-1,✘,␣,␣,P918WLY,✘,043-1581-2529,1986.02.22,헌,✔,이낙훈,␣,그런,␣,2,2027,✘,✔,␣,✘,5,세종특별자치시 전의면 동교동촌2길 2-6 (동교리),경기도 남양주시 와부읍 율석리 398-2,✘,␣,␣,서울특별시 강남구 강남대로116길 18 (논현동),␣,010-8090-4836,010-7024-1601,대주산업,✔,경기도 파주시 파주읍 파주리 322-2,␣,␣,기타,3,✔,1019056077,9485764572,✘,∅,✘,␣,5개월,␣,␣,2033.03.14,✘,5,1677803041,25,2
D0014,은상건,✘,041-1238-7254,✘,␣,때,✘,9415606077,010-8129-4319,✔,프로젝트 매니저,경상북도 김천시 부곡동 424-35 (백억빌),10,␣,한솔케미칼,"51,250,000",경쥬니,✘,␣,063-5455-4887,충청남도 부여군 부여읍 정동리 5-1,✔,심슬비,전무,PGZ22N8,✔,041-4345-8104,2037/7/29,식모살이로,✔,황보로라,031-2144-4254,지낸다.,2000,␣,␣,✘,✔,22,✘,3,경기도 안성시 서당길 39 (금산동),경기도 화성시 봉담읍 가마골길 39 (왕림리),✔,29,1966.03.08,충청북도 청주시 상당구 금천동 162-45,2007,010-2442-4747,010-6070-5493,사조동아원,✘,경상북도 칠곡군 석적읍 중리 153-12 (아크로빌),␣,052-9528-2564,모,16,✘,1211375564,9666342584,✘,∅,✘,은루가,␣,친척,한혁윤,1901-05-03,✔,␣,1341911200,7,30
D0015,연유토,✘,043-2504-4923,✘,전임,억제함.,✔,␣,010-8399-9157,✘,␣,␣,␣,␣,␣,"6,920,000",␣,✘,조부모,064-6685-2569,␣,✔,경이래,본부장,PQIXAS3,✘,064-8819-8494,␣,세움.,✘,신리정,02-156-7695,처창히,␣,6,2020,✔,✔,␣,✔,4,경기도 남양주시 화도읍 경춘로2647번안길 39 (구암리),␣,✔,16,␣,충청남도 금산군 남이면 매곡리 909-1,␣,010-0009-3605,010-6133-6693,더파티,✘,전북특별자치도 장수군 번암면 노단리 1003-6,␣,033-3669-3351,친척,␣,✘,9838358399,␣,✔,∅,✘,범덕훈,␣,조부모,␣,2008.4.8,✘,1,9653647638,16,16
D0016,서문윤아,✘,063-1557-2313,✔,사원,진,✘,1614287413,010-0675-2413,✔,선임,"경상남도 합천군 합천읍 동서로 163 (합천리, 한국농어촌공사합천지사)",7,페럴렉스 수학,신명주택건설,"8,570,000",옥완우,✘,␣,02-747-4137,울산광역시 북구 당사동 586,✔,공청민,␣,P0NTG7Z,✔,044-2813-3337,2021-01-12,쳐서,✘,반금혜,031-9533-0034,적용을,␣,␣,2011,✘,✔,28,✘,1,␣,경기도 김포시 하성면 봉성로 164-42 (봉성리),✘,23,␣,부산광역시 강서구 낙동남로582번가길 14-1 (녹산동),2020,010-0977-3127,␣,티몬,✘,충청남도 홍성군 서부면 충의로 261-12 (중리),041-9540-3873,␣,␣,9,✘,9506455817,9121924729,✘,∅,✘,시민디,36개월,모,␣,1920.4.22,✘,11,9394937847,7,␣
D0017,복나음,✘,051-9431-3292,✔,사원,␣,✘,9209606729,010-3821-0949,✘,상무,경기도 안양시 만안구 석수로202번길 6-11 (석수동),␣,다음,고려은단,␣,␣,✔,조모,02-194-3864,경기도 부천시 원미구 심곡동 171-12,✔,갈비가나,대리,PP7YISZ,✔,␣,1924.6.17,머리를,✘,김석균,032-2819-8257,면전에서,2040,␣,2034,✔,✘,26,✔,11,충청남도 아산시 인주면 해암리 267-6,␣,✔,2,␣,전북특별자치도 익산시 마동 231-16,2006,010-6191-7549,␣,케이피엠테크,✔,␣,053-8836-5496,033-7885-3429,형제,25,✔,␣,1879218795,✘,∅,✔,␣,14개월,␣,태예사,1928-01-06,✘,␣,␣,22,23
D0018,복강원,✔,043-4241-5929,✘,선임,␣,✘,1192435485,010-7519-5413,✘,␣,␣,␣,두산퓨얼셀,포스코케미칼,6380000,고샤론,✔,딸,051-7401-7620,전라남도 해남군 삼산면 충리 97-49,✘,편내애,차장,␣,✘,043-4549-0356,2017년 2월 7일,사원들,✘,␣,044-9677-8666,관측을,␣,4,2016,✔,✔,4,✔,8,경기도 남양주시 화도읍 금남리 682-1,경기도 부천시 소사구 괴안동 98-6,✔,26,2014-07-25,전북특별자치도 정읍시 옹동면 매정리 902-1,2018,␣,010-1706-2158,␣,✘,경기도 성남시 분당구 분당동 97-9,043-2535-9093,␣,조부모,␣,✘,9110806634,1851599469,✘,∅,✘,␣,25개월,␣,␣,1997.01.02,✘,3,␣,1,4
D0019,송택영,✘,063-3621-1452,✘,대리,␣,✔,␣,␣,✔,␣,충청북도 옥천군 청성면 산계리 295-4 (창고),15,축산신문,␣,"6,920,000",␣,✘,조부,␣,경상북도 김천시 감문면 감문로 1171-10 (삼성리),✘,연에디,상무,PRVIJNB,✘,02-551-8662,1923.11.2,나머지,✘,현다재,042-8869-5857,␣,␣,11,␣,✘,✘,␣,✘,4,경상북도 상주시 공성면 공성중앙로 106-19 (옥산리),"부산광역시 해운대구 양운로 45 (좌동, 해운대베르나움)",✔,␣,␣,전라남도 담양군 금성면 덕성리 778-1,2033,010-7931-3750,010-2626-7539,아이스크림미디어,✔,경상북도 문경시 산양면 반곡리 499-1,␣,061-7430-2734,손자녀,␣,✔,9078824225,␣,✘,∅,✘,함슬후,5개월,형제자매,␣,2039-09-01,✘,4,9793904070,30,␣
D0020,␣,✘,␣,✘,전무,그릇된,✘,␣,010-1198-7828,✘,사원,충청남도 당진시 순성면 순성로 484-32 (봉소리),␣,␣,부산대학교,"81,960,000",편효제,✘,␣,␣,충청북도 충주시 주덕읍 창전방죽길 25 (창전리),✔,송리리카,차장,␣,✘,␣,␣,␣,✘,편태슬,033-3087-8155,␣,2040,3,2014,✔,✔,2,✔,8,␣,충청남도 당진시 정미면 붕담길 19-3 (봉생리),✔,8,␣,대구광역시 달서구 이곡동 1184-3,2030,010-2013-6249,␣,설빙 (기업),✘,경상북도 울진군 죽변면 죽변리 390-177,051-1260-7543,054-6114-6874,부모,␣,✘,9414828136,␣,✘,∅,✔,허희실,9개월,모,곽건서,2011년 9월 8일,✘,7,9701101954,23,2
D0021,왕희강,✘,041-8209-4770,✘,CFO,이르는,✔,9246623071,010-5019-5114,✘,대리,␣,13,네패스,␣,"93,580,000",김비비앤,✘,딸,042-0940-1552,␣,✘,육창오,부문장,PIMF0RN,✔,063-5019-7154,1980/12/18,진감여가,✔,제갈유송,033-8251-8917,포수가,2024,5,␣,✘,✔,6,✘,9,제주특별자치도 서귀포시 하신상로 55 (하효동),경상북도 경주시 산내면 우라리 90,✔,20,1961-03-09,경상남도 산청군 산청읍 웅석봉로151번길 84-32 (내리),2017,010-1488-5527,␣,␣,✘,경기도 성남시 분당구 서판교로32번길 26-8 (판교동),055-6868-3249,042-8824-1701,모,␣,✔,1721535534,␣,✘,∅,✘,␣,27개월,손자,백슬옹,1936.12.14,✘,7,9877112279,5,15
D0022,온량은,✔,061-5194-1233,✘,부장,␣,✔,9424542460,010-5796-3090,✘,CFO,␣,3,코오롱그룹,효성중공업,"4,560,000",석항성,✔,␣,055-6491-5641,울산광역시 남구 야음동 20-2,✔,윤준백,CMO,PJZXJOR,✘,␣,1963/7/30,␣,✘,␣,063-0131-9182,내다.,␣,4,␣,✔,✘,9,✘,␣,경기도 양주시 은현면 선암리 224-2,경기도 성남시 중원구 광명로323번길 18-1 (금광동),✘,␣,2010/2/15,부산광역시 강서구 식만로93번길 17 (죽림동),␣,010-1699-0785,010-0541-6522,␣,✘,경기도 가평군 설악면 묵안리 97,063-3236-8470,033-0734-5126,자녀,15,✘,9165934895,1037223470,✘,∅,✘,␣,25개월,␣,용테리,1926.5.16,✘,␣,9769047019,14,13
D0023,␣,✘,044-6526-4435,✔,파트장,미국의,✘,1913217070,010-4258-7153,✔,주임,전북특별자치도 김제시 성덕면 성덕1길 66 (성덕리),3,␣,롯데푸드,59840000,␣,✘,␣,053-1149-0704,␣,✔,␣,과장,␣,✘,␣,1932.11.22,␣,✘,␣,051-8493-3834,기구나,2012,5,2032,✘,✘,␣,✘,2,경상북도 고령군 운수면 월산리 575,␣,✔,␣,1913년 6월 17일,경상남도 진주시 금산면 속사길 23-6 (속사리),2020,010-7058-3429,␣,LG전자,✘,충청북도 보은군 속리산면 구병길 8 (구병리),032-8460-0652,␣,아들,4,✘,1575926819,9346130644,✘,∅,✘,␣,5개월,손자녀,소인송,1912년 5월 16일,✘,7,1995171986,28,29
D0024,왕아현,✔,061-5823-5894,✔,선임,␣,✔,␣,␣,✔,CFO,"전라남도 무안군 운남면 신월로 561-8 (내리, 어민회관)",23,도원교통,␣,"7,470,000",␣,✘,모,044-4569-6473,전북특별자치도 남원시 운봉읍 북천길 118-2 (북천리),✘,␣,연구원,␣,✔,␣,␣,순수하며,✔,문성관,␣,남의,2033,2,␣,✔,✘,4,✘,12,경기도 파주시 탄현면 검산로361번길 86-3 (축현리),충청북도 영동군 용산면 구룡로 25 (구촌리),✘,16,2019-09-12,경상북도 울진군 울진읍 울진중앙로 58-8 (읍내리),2028,010-3781-2606,␣,그린스토어,✘,"경상남도 양산시 옥곡7길 32 (남부동, 송림레저텔)",␣,␣,손자녀,24,✔,1289517657,␣,✘,∅,✘,맹은리,1개월,␣,공서미,2011년 9월 14일,✘,␣,9572291055,16,␣
