image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,101,083,076,049,081,020,029,064,028,068,011,072,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
D0001,✔,✘,✘,␣,✘,949-73-63000,dmu.ac.uk,␣,✘,25,✘,✘,␣,✘,✘,경기도 평택시 동부공원로14번길 32-15 (비전동),✘,␣,rmubel2ou,✘,2030-40-529705,␣,SYHP69M,✘,✘,✔,✔,✘,␣,␣,옆으로,✔,한식 음식점업,␣,2037.5.11,광주광역시 서구 화운로100번길 19-6 (화정동),␣,✘,✘,␣,✘,dupont.com,GWON GA-YE,제사를,922-248-789067,␣,아일랜드,실무자,ANCA01,✘,␣,␣,␣,2015.10.11,남자,✘,✘,기타,✘,cantab.net,민청현,✘,✘,✘,✔,✘,✘,✘,✘,✔,✘,고택민,케이뱅크,✘,p0r9ui_3,✘,␣,2029,✘,23,✔,21,4,✔,LA SAEMI,✘,✘,2011.11.24,2037,02-773-7645,인탑스,✘,010-6057-1496,✘,2038/7/30,✘,␣,␣,분화나,✘
D0002,✘,✘,✘,한국씨티은행,✘,␣,byu.edu,uqepb-v9,✘,␣,✘,✘,051-3890-5369,✘,✘,강원특별자치도 홍천군 홍천읍 삼마치리 212,✘,1764662524,mk0i4iacke3,✘,␣,붓는다.,SG1O6H2,✔,✘,✘,✔,✘,␣,␣,그런,✘,중고 자동차 판매업,␣,1943.01.31,전북특별자치도 군산시 미룡동 592-2 (협동주택),gyeondineun,✘,✘,"울산광역시 동구 녹수11가길 12 (전하동, 동우빌라)",✘,site.co,O YUNGYEOM,␣,258-96730455-54,11,아르헨티나,␣,ANCA01,✘,␣,␣,맹규서,1994-08-16,␣,✔,✔,부,✘,␣,␣,✘,✘,✘,✘,✔,✔,✘,✘,✘,✘,탁월아,␣,✘,tnc0xauw.zty,✘,지내는,␣,✘,15,✘,␣,4,✘,␣,✘,✘,␣,2010,055-4109-5865,LX그룹,✘,010-7648-4271,✘,1995년 4월 4일,✔,␣,␣,것처럼,✘
D0003,✔,✔,✘,␣,✘,462-32-45360,inbox.com,␣,✘,␣,✔,✘,033-4767-0434,✘,✘,경상북도 구미시 봉곡로9길 6-7 (봉곡동),✘,␣,una1hi4-vv,✘,␣,번째로,␣,✔,✘,✘,✘,✘,심빛가람,남에게,관할,✘,그 외 기타 교육기관,승남이,2009-03-26,강원특별자치도 평창군 평창읍 천동1길 149-4 (천동리),cheonjinmugu,✘,✔,전북특별자치도 부안군 동진면 내기리 723-1,✔,freenet.de,␣,␣,304-258287-39,7,␣,감사,ANCA01,✘,우크라이나,␣,마창우,␣,남자,✔,✘,␣,✘,␣,␣,✘,✘,✘,✔,✔,✘,✔,✔,✔,✔,연마키,중국은행,✔,t02d421cv.w,✘,생생하고,2036,✔,29,✘,4,10,✘,CHEON DAMI-A,✘,✘,1920.8.25,␣,␣,한국베링거인겔하임,✔,010-8792-8741,✘,␣,✔,경상남도 의령군 부림면 천혜로5길 14-2 (권혜리),␣,전자라고,✘
D0004,✘,✔,✘,광주은행,✔,191-46-91736,fmail.ru,␣,✘,13,✘,✔,064-3534-7626,✘,✘,␣,✘,␣,␣,✔,576863-17-013577,지내고,SALLR8D,✘,✔,✘,✘,✔,온혜강,수,␣,✘,전문가 단체,␣,␣,광주광역시 광산구 선암동 649,␣,✘,✔,␣,✘,bk.ru,JO HUIHUN,대회장으로,874-523-051965,11,슬로베니아,본부장,ANCA01,✔,␣,남아얀,선우해솜,1954.12.23,␣,✘,✔,␣,✘,hinet.net,상용철,✘,✘,✘,✘,✘,✔,✘,✔,✘,✘,연루,␣,✘,␣,✘,또는,2005,✔,␣,✔,␣,10,✔,␣,✘,✘,1906.7.27,2027,␣,␣,✘,␣,✔,1929/10/23,✔,경상남도 사천시 사천읍 수석리 167-24,␣,귀를,✘
D0005,✔,✘,✘,JP모건체이스,✘,546-33-65233,dmu.ac.uk,␣,✘,␣,✔,✘,041-3661-2217,✘,✘,␣,✘,9960463691,␣,✘,␣,따위가,␣,✘,✘,✘,✘,✘,이노민,하지,이야기를,✘,␣,채효준,␣,␣,seolo,✔,✘,경상북도 고령군 성산면 상용리 386-1,✘,europe.com,BIN LYEOMIN,지역을,0508-82-066033,9,타지키스탄,␣,ANCA01,✘,칠레,␣,남궁백겸,␣,␣,✔,✔,␣,✘,␣,간열,✘,✘,✘,✔,✔,✘,✘,✘,✔,✘,명지얀,한국수출입은행,✔,qy00p_beomqy,✘,데,2035,✔,29,✘,13,␣,✘,SA YESUL,✘,✔,2038년 12월 28일,2013,␣,News2day,✘,010-4413-3419,✔,1941.8.6,✘,충청남도 공주시 의당면 궁골길 93 (중흥리),␣,금강불괴신,✔
D0006,✘,✘,✘,뱅크오브아메리카,✘,073-64-79973,london.com,pyune97c7k,✔,␣,✔,✔,␣,✘,✔,␣,✘,9654586411,␣,✔,123-442-582017,이르는,SUT5KDV,✘,✘,✘,✘,✔,육찬중,␣,␣,✘,사회보장보험업,왕규명,␣,"경상북도 포항시 남구 정몽주로847번길 6 (청림동, 우일청솔빌라)",hube-iseong,✘,✔,전라남도 신안군 비금면 수대리 77,✘,hanmir.com,GA BIHAN,␣,129-689798-57,␣,덴마크,CFO,ANCA01,✘,세르비아,␣,␣,2049-08-16,␣,✘,✘,␣,✘,␣,여예,✔,✘,✔,✘,✘,✔,✔,✘,✘,✘,선새롬,␣,✘,v-.ycdj2,✘,변경이,2038,✔,␣,✘,29,6,✔,SEONG LYEONGHYE,✘,✘,2003-08-29,␣,044-3863-0523,␣,✘,␣,✔,␣,✘,␣,␣,취산,✘
D0007,✘,✘,✘,부산은행,✘,␣,london.com,yuxu2iu,✔,␣,✔,✘,␣,✔,✔,경기도 고양시 일산동구 식사동 1545-2,✘,␣,ozgc968_1le,✘,281341-47-962414,␣,SNY5M2N,✘,✘,✔,✘,✘,␣,현상.,아미타불만을,✘,"섬유제품 염색, 정리 및 마무리 가공업",태가비,1954/4/17,"서울특별시 동작구 성대로16길 90 (상도동, 보문사)",␣,✘,✘,충청남도 논산시 성동면 월성리 284,✘,␣,MAENG JUNHWAN,␣,851527-23-963692,11,␣,실무자,ANCA01,✘,라오스,빈나라,남궁신자,1914/11/5,남자,✘,✔,부모,✘,␣,최양채,✘,✘,✔,✔,✘,✘,✔,✘,✔,✔,최성실,한국씨티은행,✘,u1djd7d1y-q8q,✔,␣,2000,✘,9,✘,17,12,✔,GYEONG JI-UNG,✘,✘,1936.12.27,2022,02-334-2682,한국치맥산업협회,✘,␣,✘,2020-11-02,✘,경상북도 경주시 구매안길 8-1 (시래동),␣,자신의,✘
D0008,✘,✘,✘,광주은행,✔,␣,jejunu.ac.kr,xmo8tb36coxo_,✘,5,✔,✘,␣,✘,✘,대전광역시 중구 문창동 116-1,✘,␣,swps_1_d,✘,8106-98-159861,␣,S0Q50FK,✘,✔,✔,✘,✘,석주비,말.,성장률,✘,농업 및 임업용 기계 제조업,설경태,1991.6.16,␣,banglyeol02,✘,✘,␣,✘,␣,YEO JO-IN,␣,167-716688-23,1,중국,사원,ANCA01,✘,필리핀,␣,␣,1933-05-11,남자,✘,✘,배우자,✔,freechal.com,국현창,✘,✘,✔,✔,✔,✔,✘,✔,✘,✘,␣,중국은행,✔,lvqd32ap,✘,빙수를,2019,✘,␣,✘,␣,7,✘,␣,✔,✘,␣,2031,␣,지구화학,✔,010-9411-5785,✘,1940년 9월 1일,✘,경상북도 칠곡군 북삼읍 숭오리 62-18,␣,들어서,✘
D0009,✘,✘,✔,한국수출입은행,✘,␣,ieee.org,v-rhsy7f,✘,9,✔,✘,053-1513-3618,✔,✘,␣,✘,1181079500,␣,✘,554371-46-741350,보철해,SQ0Y8K1,✘,✘,✘,✘,✘,주초흔,␣,␣,✘,담배 제조업,박혁호,␣,␣,deman,✘,✘,경상북도 포항시 남구 냉천로 74-7 (인덕동),✘,dr.com,SA HYEONHO,␣,292-198-537003,␣,북마케도니아,␣,ANCA01,✔,이스라엘,천의용,나카일라,␣,여자,✘,✘,␣,✘,␣,원시을,✘,✘,✘,✘,✘,✘,✘,✔,✘,✘,␣,␣,✘,z9d56sgf,✔,절차를,2037,✔,14,✘,19,␣,✔,␣,✘,✘,2024-04-07,␣,␣,YNK 엔터테인먼트,✘,010-2441-6806,✔,1935/8/15,✔,전라남도 무안군 일로읍 청운동길 57-12 (광암리),␣,␣,✘
D0010,✘,✘,✘,␣,✘,859-59-39923,netzero.net,h7sxn6ib077,✘,30,✔,✘,051-4776-0702,✘,✘,␣,✘,9644715162,fm7-eoqhbbu,✘,960253-92-895703,깡충.,␣,✘,✔,✘,✔,✘,육정진,␣,하나.,✘,기타 인쇄물 출판업,승서휴,␣,경기도 성남시 수정구 수진동 1025,␣,✘,✘,경상북도 칠곡군 지천면 덕산리 744-1 (덕산교회),✘,dmu.ac.uk,JIN DO-YEON,472643,127-03683463-99,␣,룩셈부르크,␣,ANCA01,✔,동티모르,주문종,소필,1917/4/12,␣,✘,✔,␣,✔,␣,␣,✘,✘,✘,✔,✔,✔,✔,✘,✘,✔,␣,DBS은행,✘,bif0t1c,✘,말을,␣,✘,1,✔,11,7,✔,JEON BEOMHUN,✘,✔,2010.04.28,2016,032-7598-2565,␣,✔,010-1607-5764,✔,1914.7.23,✔,경기도 고양시 덕양구 통일로1258번길 34 (내유동),␣,모양으로,✔
D0011,✘,✔,✘,케이뱅크,✔,739-87-00580,northwestern.edu,l8ddw.8mf7r0,✔,1,✔,✘,␣,✘,✘,␣,✘,9521233124,␣,✘,295-17617865-22,생각에,SZ15W74,✘,✘,✘,✘,✘,남궁미담,장군,아니고,✘,연금 및 공제업,배예리엘,1978년 9월 16일,충청북도 옥천군 군서면 성왕로 476-18 (동평리),␣,✘,✔,경기도 남양주시 수동면 비룡로1324번길 84 (내방리),✔,hawaii.edu,CHA WON-U,구를,273-020309-849,1,마카오,CIO,ANCA01,✘,스리랑카,홍선엽,길가화,2020-03-12,남자,✘,✔,␣,✘,fun.com,␣,✘,✘,✘,✘,✔,✘,✔,✘,✔,✘,␣,도이체방크,✘,m6af5nzx,✘,흉조로,2019,✘,18,✘,␣,9,✘,CHA LYEMI,✔,✘,2050.03.06,2008,052-9368-8059,대우조선해양,✔,010-5058-7619,✘,2040-03-06,✘,␣,␣,삼는다.,✔
D0012,✘,✘,✘,␣,✘,865-58-42998,gmx.us,dyk941f,✘,24,✘,✘,033-5021-7888,✘,✘,전북특별자치도 순창군 구림면 금천리 352,✔,1872051014,vucy84hvvy,✘,␣,비유적으로,␣,✘,✘,✘,✘,✘,송혜상,수행하기,송나라,✘,␣,단후연,1971.02.24,충청남도 공주시 우성면 보흥2길 2-7 (보흥리),␣,✘,✘,충청남도 당진시 신평면 상오리 752-2,✘,freenet.de,␣,냄을,996-256524-179,8,␣,␣,ANCA01,✘,칠레,␣,␣,1909.5.27,남자,✘,✔,형제,✘,␣,␣,✔,✘,✘,✘,✘,✔,✔,✘,✔,✘,원빛이나,␣,✘,␣,✘,␣,2011,✘,␣,✘,␣,␣,✔,␣,✘,✘,2030-03-06,␣,051-2880-5799,␣,✘,␣,✘,1979/2/2,✔,␣,␣,일러바치는,✔
D0013,✘,✘,✘,DBS은행,✔,␣,␣,␣,✘,5,✘,✔,051-7771-2490,✘,✘,강원특별자치도 영월군 무릉도원면 무릉법흥로 782-10 (법흥리),✘,␣,p5c3pf2r8rx6,✘,861-899116-329,␣,SOV8NWK,✘,✘,✘,✔,✘,좌채야,␣,보직할,✔,화물 취급업,금사영,␣,충청남도 서산시 음암면 신장리 151-2,johji,✘,✘,경상북도 청도군 이서면 대곡길 359-4 (대곡리),✔,␣,SEON UDOLIM,어버이를,␣,6,폴란드,감사,ANCA01,✔,아프가니스탄,␣,어인예,1903.02.06,여자,✘,✔,자녀,✔,␣,팽복순,✘,✘,✘,✘,✔,✘,✘,✘,✘,✔,전원일,하나은행,✘,yug3662df86,✘,돌려줌.,2040,✔,19,✘,22,7,✔,SON NA,✔,✘,2021/8/20,2036,␣,␣,✘,010-6104-8348,✔,2048-11-28,✔,대전광역시 중구 안영동 520-7,␣,해유하다01,✘
D0014,✘,✔,✘,␣,✔,␣,jawamail.com,gpj_t1x_,✘,26,✔,✘,043-7276-0032,✔,✔,␣,✘,9690851957,p9oe29kvc3css,✔,␣,몸이,S9TA572,✘,✘,✔,✔,✘,맹대희,␣,헤아려,✘,게임 소프트웨어 개발 및 공급업,정광혜,␣,␣,tta-wileul,✘,✔,충청남도 서산시 동문동 399-8 (동문빌라),✔,dmail.com,TAE TAEGGEUN,따라,583-802741-94767,4,슬로바키아,실장,ANCA01,✘,␣,␣,상미재,2042.04.05,␣,✘,✘,␣,✘,nu.edu,정유엽,✘,✔,✔,✘,✔,✔,✔,✘,✔,✘,백채원,중국은행,✘,␣,✘,␣,␣,✘,22,✘,6,10,✘,GYEON MONGHAM,✘,✘,␣,2022,055-0446-1504,희망노트사,✔,010-3073-8527,✘,2008년 4월 30일,✘,␣,␣,␣,✔
D0015,✔,✘,✘,NH농협은행,✘,971-36-04641,bluemail.ch,d71kop.y_atft,✘,␣,✔,✔,053-456-0101,✘,✘,제주특별자치도 제주시 중산간동로 107-71 (회천동),✘,9253119032,byup14kc_3i1o,✘,785-335180-979,있었다.,SVE2FB0,✘,✘,✘,✘,✘,␣,␣,␣,✘,␣,␣,1964-04-16,대구광역시 동구 아양로40길 12-6 (효목동),␣,✘,✔,경기도 가평군 북면 목동리 823-2 (북면주유소),✘,kookmin.ac.kr,EUN SUN-AE,␣,841-202148-462,3,시리아,␣,ANCA01,✘,␣,␣,␣,␣,␣,✘,✘,␣,✘,␣,␣,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,천권상,␣,✔,r40.-4s2,✘,␣,2028,✘,5,✘,␣,␣,✘,␣,✘,✘,␣,2038,055-215-8272,괌정부관광청,✘,␣,✘,1956-10-09,✘,전라남도 보성군 벌교읍 계성1길 13 (벌교리),␣,␣,✘
E0000,✘,✘,✘,BNP파리바,✘,885-33-25183,pacbell.net,g4h37sup97nhs,✘,4,✘,✘,␣,✘,✘,␣,✘,␣,␣,✔,␣,␣,AHFI8HL,✘,✔,✘,✘,✔,공시언,못한,삽상하다의,✔,석제품 제조업,␣,1994-10-06,충청북도 단양군 매포읍 평동리 645-6,gyeongji-e,✔,✘,경상북도 영주시 의상로 551 (조와동),✔,␣,TAG JEHONG,어려워하는,122-989712-883,␣,␣,COO,ANCA01,✔,카타르,간의혁,은로앤,1929년 2월 24일,여자,✘,✘,조모,✔,␣,단치빈,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,용진헌,국민은행,✘,b3kte8nw,✘,␣,2019,✘,␣,✘,11,11,✘,␣,✘,✘,2039.04.09,␣,042-2051-7126,LIG손해사정,✘,010-8932-4358,✘,2016.12.11,✔,␣,␣,숙랭02,✘
E0001,✘,✘,✘,␣,✔,415-24-92590,nate.com,␣,✘,2,✘,✔,044-412-9947,✘,✔,광주광역시 남구 월광1길 8-1 (월산동),✘,1779703809,qs_e.jrsnu,✘,247-476789-62,␣,␣,✘,✘,✔,✘,✘,변호길,␣,한,✘,"무기 안료, 염료, 유연제 및 기타 착색제 제조업",금미소라,1974-07-15,␣,ganeun,✘,✘,부산광역시 부산진구 동평로 48 (당감동),✘,hotmail.com,O DASONG,두려워하는,111043-94-737225,4,미국,CEO,ANCA01,✔,␣,␣,서문준탁,1998/5/21,␣,✘,✘,␣,✔,chungnam.ac.kr,␣,✘,✔,✘,✘,✘,✔,✔,✔,✘,✘,주원지,제주은행,✔,␣,✘,음구의,2022,✘,31,✘,28,␣,✔,SEON SUGJA,✘,✘,1976/8/9,2003,055-7799-3143,␣,✔,010-6959-6338,✘,1967-03-08,✔,충청남도 당진시 정미면 하성리 9,␣,"점화제,",✘
E0002,✔,✔,✘,DBS은행,✘,␣,netzero.net,w6i6-m3wnahx,✔,20,✘,✘,054-8578-9301,✘,✘,␣,✘,9993371190,oydg.kjza5z03,✘,171-752324-35012,␣,AH3HS05,✘,✘,✔,✘,✔,␣,␣,갈색에,✔,"소독, 구충 및 방제 서비스업",원여미,1975.11.25,경기도 화성시 서신면 전곡리 198-2,␣,✘,✔,서울특별시 강남구 역삼동 752-34,✘,␣,DANG LA-YE,␣,101-129466-85840,6,␣,␣,ANCA01,✘,태국,전문용,주우겸,␣,남자,✘,✘,친척,✔,␣,인호건,✘,✘,✘,✔,✘,✘,✘,✘,✘,✘,소용천,␣,✘,r8hzb9-n9jb,✘,␣,2034,✔,2,✘,␣,␣,✘,ON HWANGMIN,✔,✘,1902.03.13,␣,␣,팬오션,✘,010-4580-6499,✔,␣,✘,강원특별자치도 태백시 태백로 505 (화전동),␣,없이,✘
E0003,✔,✘,✘,부산은행,✘,␣,␣,vlwpnin-wen39,✔,22,✔,✘,␣,✔,✔,␣,✘,␣,␣,✘,␣,양선하여,␣,✔,✔,✘,✘,✘,팽하니,세력,증표.,✔,가정용 비전기식 조리 및 난방 기구 제조업,윤율하,2009.09.16,광주광역시 광산구 송도로 338-20 (신촌동),daeha-yeo,✘,✘,␣,✘,bluemail.ch,␣,실었음을,871-45131809-51,5,홍콩,상무,ANCA01,✔,헝가리,권건창,호치성,1915년 3월 22일,남자,✔,✘,손녀,✔,juno.com,가예성,✘,✔,✘,✘,✘,✔,✘,✔,✘,✘,선우설연,␣,✘,␣,✘,␣,␣,✔,25,✔,␣,␣,✘,SEON UKELA,✔,✘,␣,2006,062-0711-3240,미샤,✘,010-7353-2440,✔,␣,✔,"서울특별시 영등포구 가마산로50길 5 (신길동, 우리빌라)",␣,␣,✔
E0004,✘,✔,✔,한국산업은행,✘,␣,kyonggi.ac.kr,l3pdrjj4_jtfr,✔,␣,✘,✘,031-4378-3188,✘,✘,␣,✔,1435974388,␣,✔,9482-32-532977,궁벽한,AO4T5PO,✘,✘,✘,✘,✔,오선별,␣,줄,✘,내륙 수상 및 항만 내 운송업,팽무림,1932-05-04,강원특별자치도 평창군 방림면 계촌리 1074-6,gabyeo-i,✘,✘,전북특별자치도 진안군 부귀면 거석리 687,✘,␣,GYEON YEONGJUN,앉았다,␣,12,슬로바키아,CFO,ANCA01,✘,␣,손모모카,하여신,␣,남자,✘,✔,␣,✘,bellsouth.net,손시한,✘,✔,✘,✔,✘,✔,✘,✔,✘,✘,갈은승,미쓰비시UFJ은행,✘,qrqclkw1qi4-,✘,␣,␣,✘,15,✘,␣,8,✔,␣,✘,✔,␣,2012,044-3878-3448,알퉁오빠,✔,010-0487-5138,✔,1952/5/14,✘,경상남도 사천시 서동 176-38,␣,␣,✔
E0005,✘,✘,✘,␣,✘,␣,␣,ugonket178,✘,18,✔,✘,043-1022-3016,✔,✘,경기도 남양주시 진건읍 신월리 544-40,✘,1604634303,uq9eubdjf_8g,✘,954-912508-81,약재로서,AV0D70H,✔,✘,✘,✘,✘,␣,있는,제일,✔,"컴퓨터 및 주변장치, 소프트웨어 및 통신기기 소매업",범대아,␣,␣,beosneundaneun,✘,✘,␣,✘,hawaii.edu,␣,초지붕,4116-67-401582,4,니카라과,␣,ANCA01,✘,␣,␣,윤채강,1982/10/10,남자,✘,✘,형제,✘,okc.edu,민아겸,✔,✘,✔,✘,✘,✘,✘,✘,✔,✘,호본호,BNP파리바,✘,␣,✔,나에게,␣,✔,20,✘,2,12,✘,TAE HO-UN,✘,✘,1983-06-16,␣,031-7304-0561,포켓돌스튜디오,✘,010-4183-1677,✘,2005년 3월 16일,✘,충청북도 증평군 증평읍 장동리 542,␣,철시되니,✘
