image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
C0017,␣,✘,✔,✘,AOAKIWX,063-5098-6907,E7H7FL,␣,30,1844910222,✘,30개월,26-54-642046-37,033-8926-4788,OK3XPN,✘,✘,✘,␣,✔,✔,✘,✘,GLS 트레일블레이저,✔,✘,✘,␣,"77,520,000",✔,"6,180,000",SP00NAB026,✔,␣,✘,✔,✘,␣,✘,9072637071,W13VX2SC,✔,✔,간단미,✘,벤츠 타호,"66,780,000",21.0,✔,✔,671-77-06674,✘
C0018,기후,✘,✘,✔,AVRHGV9,␣,KTTNSU,94280000,11,9258252876,✘,3개월,23-74-824903-27,␣,␣,✘,✘,✘,두도우,✘,✘,✔,✔,␣,✘,✔,✘,␣,"1,240,000",✔,␣,SP00NAB026,✘,방사성,✘,✘,✘,39.1,✘,9050214501,ZHLX0NEA,✘,✔,␣,✔,도요타 트랙스,"1,380,000",72.0,✔,✘,556-76-07874,✘
C0019,백남준기념관,✘,✘,✘,A2PUOIS,042-2559-5670,554XQN,"81,530,000",31,9486645489,✘,32개월,08-43-827629-95,044-7411-4412,S6CXPI,✘,✘,✘,옥세림,✘,✔,✔,✔,RAV4 X1,✘,✔,✘,"34,210,000",␣,✘,"36,850,000",SP00NAB026,✔,이웃하여,✘,✘,✘,␣,✘,1784573911,DGTHB6M9,✘,✔,감항성,✘,제네시스G70 GLE,␣,39.4,✘,✘,259-12-95764,✘
C0020,수도원,✔,✘,✘,A833C8H,052-259-7071,IP9Z9X,"87,810,000",10,1972097375,✘,␣,83-48-521651-31,␣,EK22EX,✘,✘,✘,곽단홍,✘,✔,✘,✘,임팔라 포르쉐,✘,✔,✔,"2,940,000",␣,✔,␣,SP00NAB026,✘,␣,✔,✔,✘,0.8,✘,1643990396,␣,✔,✘,␣,✘,스타리아쉐보레 임팔라,␣,64.1,✘,✘,310-17-49503,✘
C0021,␣,✔,✔,✔,ATUA9D8,054-7292-1672,쏘나타 A4,␣,13,9976069796,✘,␣,02-17-126438-89,052-8783-0222,KVGKTH,✔,✘,✘,범중후,✘,✘,✔,✘,␣,✘,✔,✘,"1,190,000",␣,✔,"9,880,000",SP00NAB026,✘,걸려,✔,✘,✘,57.1,✔,1965106171,E43ISLH6,✔,✔,반초민,✘,말리부 XM3,"47,940,000",50.1,✔,✔,821-18-35141,✔
D0100,구하산방,✔,✘,✘,EX38JTA,␣,0HI9IS,"7,240,000",23,9930017676,✘,21개월,53-89-366045-25,041-6335-0322,␣,✔,✘,✔,사공재창,✔,✔,✘,✘,5 시리즈 GV60,✔,✘,✔,"3,320,000","91,150,000",✔,␣,SP00NAB026,✘,일어난,✘,✘,✘,32.6,✘,1847417267,Q50ET91U,✘,✔,윤소단,✘,S 클래스 QM3,"1,620,000",44.6,✘,✘,420-91-95205,✘
D0101,␣,✘,✔,✘,ED9WIDJ,␣,6IWE8M,␣,27,1428722108,✔,32개월,␣,␣,␣,✘,✘,✔,호운빈,✘,✘,✘,✔,␣,✘,✔,✘,84680000,51920000,✘,␣,SP00NAB026,✘,따위로,✘,✘,✘,␣,✘,9304195370,3GDBXGTT,✔,✔,␣,✔,르노 GLE,"8,920,000",91.0,✘,✘,773-55-89599,✘
D0102,␣,✘,✘,✔,ENQXUJO,␣,␣,61730000,31,9947886266,✘,25개월,19-83-011941-95,054-5119-1393,261UBS,✘,✔,✘,␣,✘,✘,✘,✘,코란도 7 시리즈,✘,✘,✘,41350000,␣,✘,"66,270,000",SP00NAB026,✘,강물을,✘,✘,✔,29.4,✘,9475401445,5DY0B4J1,✔,✔,␣,✘,Q7 3 시리즈,␣,67.4,✘,✘,␣,✘
D0103,쓰윗 Thweet,✘,✘,✘,ESA0D4S,041-6003-2081,␣,"69,120,000",2,␣,✘,3개월,36-66-683666-15,041-0216-3979,WKY4WV,✘,✘,✔,금규준,✘,✔,✘,✘,␣,✘,✘,✔,␣,"47,450,000",✘,5660000,SP00NAB026,✔,␣,✘,✘,✔,␣,✘,9799284172,␣,✔,✔,온화연,✘,SM7 벨로스터,␣,52.8,✘,✔,␣,✘
D0104,이미 커피,✔,✔,✔,EOCJABZ,041-6520-0352,QUDHK7,"89,510,000",␣,9482466441,✘,␣,␣,␣,DWGD8S,✘,✔,✘,␣,✘,✘,✘,✘,말리부 e-트론,✘,✘,✘,"29,160,000",␣,✔,"48,180,000",SP00NAB026,✘,␣,✘,✘,✘,␣,✔,1906676713,X413HJNX,✔,✘,␣,✘,␣,37440000,50.4,✘,✘,141-28-51367,✘
D0105,집밥김선생,✘,✔,✘,␣,053-9322-4068,07FC9K,"68,160,000",␣,1833161250,✘,16개월,79-20-611059-46,053-0585-7500,␣,✘,✘,✘,민승주,✔,✘,✘,✘,␣,✘,✘,✘,"74,310,000",4670000,✘,"9,310,000",SP00NAB026,✘,따위를,✘,✘,✘,6.1,✔,9864707360,5QJ8AAEI,✘,✘,백참,✘,GV90 스파크,"14,370,000",8.1,✔,✘,633-45-27965,✘
D0106,␣,✘,✘,✘,EHXVPS0,031-6458-9990,␣,"18,310,000",␣,1005336824,✘,␣,␣,041-2860-5684,EGCPWO,✘,✘,✔,␣,✔,✘,✘,✔,아반떼 캠리,✘,✔,✔,61580000,41740000,✘,"84,490,000",SP00NAB026,✘,␣,✘,✘,✘,32.8,✘,9516344292,3BTB33NC,✔,✔,␣,✘,QM5 GLA,17440000,␣,✘,✔,030-99-37907,✔
D0107,지형공방 홍벽헌,✘,✘,✔,EZPOHNW,␣,␣,"12,920,000",21,1942493995,✘,␣,67-38-857934-93,043-6042-6251,JGUVZ5,✔,✘,✘,나유동,✘,✘,✘,✘,A6 GLE,✘,✘,✔,␣,"7,680,000",✔,␣,SP00NAB026,✘,물질.,✘,✔,✘,39.3,✘,␣,␣,✔,✘,간선우,✘,제네시스G70 Q8,"59,430,000",55.9,✘,✔,␣,✘
D0108,궁,✘,✔,✔,␣,042-1712-9480,Z34MBT,7880000,␣,␣,✘,31개월,␣,063-1010-6387,␣,✔,✔,✔,서문유봄,✘,✘,✔,✘,CR-V 시빅,✔,✘,✔,"58,140,000",38910000,✘,␣,SP00NAB026,✘,도덕.,✘,✘,✘,42.5,✔,9548476035,03Z9F19W,✔,✔,구아오이,✔,쌍용 토레스,"5,440,000",76.9,✘,✘,932-08-50651,✘
D0109,모노하 한남,✔,✔,✔,EZ0LBW3,064-8285-2981,␣,"61,250,000",␣,9016029655,✘,␣,07-08-661489-13,054-8119-4221,␣,✘,✘,✘,곽찬효,✘,✔,✘,✘,토레스 렉스턴,✘,✘,✔,␣,"43,170,000",✔,92880000,SP00NAB026,✘,멍석.,✘,✘,✘,␣,✘,1826125776,1X25L2V6,✘,✔,␣,✔,␣,"6,960,000",68.7,✔,✔,022-99-54550,✘
D0110,등촌 최월선칼국수,✘,✘,✔,ELQQESQ,␣,Y1UGTC,"9,520,000",18,␣,✔,25개월,53-02-245722-19,031-8658-4107,␣,✘,✘,✔,목준언,✘,✘,✔,✘,␣,✘,✔,✔,␣,␣,✘,"23,970,000",SP00NAB026,✔,이익을,✔,✘,✘,␣,✔,9940682631,␣,✘,✘,␣,✘,투싼 파일럿,3270000,36.6,✘,✘,215-81-65072,✘
D0111,␣,✘,✔,✘,EX553XP,02-622-1327,MWFDR4,␣,6,1854566190,✘,20개월,56-72-549733-21,053-114-7945,Q7Q8IC,✘,✘,✔,백해근,✔,✘,✘,✘,벨로스터 G80,✘,✘,✘,␣,"89,960,000",✔,"33,430,000",SP00NAB026,✘,말.,✘,✘,✘,29.5,✘,1065208100,␣,✘,✔,어청비,✘,X1 베뉴,"7,120,000",61.0,✘,✘,305-46-76460,✔
D0112,술마켓 군자 본점,✔,✘,✔,␣,␣,K66CY5,"8,190,000",11,1542327558,✔,␣,44-75-538438-87,054-1229-7857,ZGXJ24,✘,✘,✔,인석환,✘,✘,✔,✘,␣,✘,✘,✔,␣,␣,✘,"98,290,000",SP00NAB026,✘,결심을,✘,✘,✘,53.7,✘,1201136017,SVY4BK5J,✔,✘,허리훈,✘,␣,"15,850,000",␣,✔,✘,␣,✘
D0113,에비수,✘,✘,✘,EPWVF0V,032-5487-2693,␣,"55,840,000",27,1726039454,✘,␣,␣,064-9497-2318,GNM3T0,✘,✘,✘,␣,✘,✘,✔,✘,␣,✘,✘,✘,"88,220,000",␣,✔,␣,SP00NAB026,✔,␣,✘,✘,✘,␣,✔,␣,U39HPYO4,✘,✔,␣,✔,임팔라 G90,"8,150,000",␣,✘,✘,424-09-81488,✔
E0100,␣,✘,✔,✘,U2T3GFK,064-3135-9648,MSBB29,95130000,32,9142465889,✘,18개월,08-34-358958-97,042-5435-3088,ZG706O,✘,✘,✔,형민초,✘,✘,✔,✔,S 클래스 파나메라,✘,✘,✔,69490000,"56,670,000",✘,␣,SP00NAB026,✘,␣,✘,✘,✘,51.9,✔,9218409584,Q87G1ECE,✘,✘,방진,✘,5 시리즈 파나메라,"28,890,000",92.0,✘,✘,␣,✔
E0101,선유도 공원,✔,✘,✘,␣,␣,G63XAL,␣,␣,␣,✘,␣,45-22-912730-60,061-6146-2879,YSVU8U,✘,✘,✘,경규빈,✘,✘,✘,✘,QM5 A8,✘,✘,✘,"9,390,000",81860000,✘,"72,990,000",SP00NAB026,✘,␣,✘,✘,✘,95.4,✘,␣,31KDSYS4,✔,✘,윤소율,✘,GLS 트래버스,"4,840,000",17.6,✘,✘,289-10-00983,✘
E0102,꾸스꾸스,✘,✔,✘,URSC3A0,␣,␣,"18,220,000",␣,␣,✘,␣,␣,032-6959-8973,ISHIRP,✘,✘,✔,엄양수,✔,✔,✘,✔,캐스퍼 어코드,✔,✘,✘,␣,␣,✘,"73,490,000",SP00NAB026,✘,물와내다,✔,✘,✘,64.1,✔,␣,␣,✘,✔,좌태윤,✔,␣,␣,␣,✘,✘,700-51-77694,✘
E0103,␣,✘,✘,✘,USWCQTA,␣,9Q1DPJ,"53,750,000",6,1543856187,✔,6개월,42-22-963143-03,041-948-3781,33I1N0,✘,✘,✘,␣,✘,✔,✘,✘,스파크 타호,✔,✘,✘,␣,␣,✘,"25,130,000",SP00NAB026,✘,날마다,✘,✔,✔,␣,✘,9798754927,YD7IH1ZQ,✘,✔,갈현조,✔,␣,5780000,19.9,✔,✘,536-24-67210,✘
