image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,060,061,065,066,068,069
G0042,,1987년 04월 17일,브라질,GWON GYE-WON,,,인천광역시 강화군 불은면 삼성리 742-4,044-9021-3288,,종전되기만을,대리,20,전북특별자치도 부안군 부안읍 내요리 455-1,,손리란,1910/2/6,카자흐스탄,,,딸,충청남도 부여군 은산면 신대리 266-1,02-592-8941,,,,,,061-7791-3762,견보승,,미얀마,,010-1661-4454,손녀,,063-4403-1228,커피스미스 가로수길점,거북이의,주임,23,서울특별시 도봉구 노해로 327,064-5744-3088,"36,780,000",6,,,,,,,,,2004,12,3,지정동,✔,안교찬,✔,오백겸,<|SEAL|>,,
G0043,,,,,010-1318-7998,딸,충청남도 금산군 남이면 중촌길 42,055-4862-7844,챔프커피 제3작업실,반규,선임,,경상북도 경산시 남천면 삼성리 738,,편으뜸,1901.5.15,,,,,충청남도 태안군 태안읍 원이로 321-12,064-9497-9916,사발,비교,부문장,10,경기도 양평군 양서면 양수로 117,,,1966-06-12,이란,,,,경상북도 청도군 각북면 오산리 1228,,OB 맥주 (카스),말.,,12,인천광역시 강화군 불은면 삼성리 1221,031-6106-2380,"29,670,000",23,,✔,,,,✔,,,2013,11,5,,<|SEAL|>,방하권,✔,빈찬빈,<|SEAL|>,1598170802,LYY2JA3
G0044,전하임,1907.11.29,폴란드,HWANG BO-WANGI,,손녀,,042-7556-6097,서촌전통순대국,쓴다.,,9,충청북도 충주시 연수동 930,044-0873-5218,복비원,1982.01.08,이란,JIN SOLHAN,,,,055-2444-5146,초마,전기를,파트장,,경상남도 합천군 덕곡면 율원리 145,02-110-8547,강인소,,이스라엘,GWON HA-YO,010-5247-8224,,제주특별자치도 서귀포시 서홍동 1753,044-6238-8652,동원건설,그러나,,,충청북도 괴산군 사리면 수암리 266-8,041-7875-8324,"44,150,000",28,,✔,✔,,,,,,2002,10,16,가지승,<|SEAL|>,,✔,석찬별,,9013952832,LG2FNR8
G0045,,1907-08-30,라오스,YE JU-YUL,010-6999-0384,,전라남도 보성군 미력면 도개2길 26-7,061-7433-5860,금호아시아나그룹,핀,,,대구광역시 달서구 월곡로28길 10,,,1922년 7월 31일,캄보디아,DONG JANGHAN,010-1180-2682,손자,,02-481-6092,,팔미트산,,,,,어수창,1983년 10월 14일,아르헨티나,SEUNG UNGYO,010-7294-5820,손자,,,페트라,연구하는,부문장,,서울특별시 동대문구 천호대로37길 67,054-2516-9901,"89,140,000",,✔,✔,,,,,✔,,2022,8,17,간준화,,,✔,석덕순,<|SEAL|>,9918361184,LOZFUHF
G0046,범강담,,우즈베키스탄,SEO JONGHU,010-4091-6127,기타,대구광역시 달성군 화원읍 사문진로1길 16-13,042-7914-7248,케르반 파미에 스테이션,바깥쪽에,부문장,24,충청북도 청주시 청원구 오동동 367-10,032-8365-6149,안인겸,2032.1.21,시리아,SON HYEON-YEOB,010-4667-6664,딸,충청북도 충주시 사직산16길 32-7,041-8292-9565,,뾰족한,연구원,,전라남도 여수시 선소로 90,,윤호걸,,,MOG JINMI,,모,충청남도 홍성군 광천읍 홍남로737번길 45,062-3100-1933,인사동 뽕다방,둥근,인턴,,인천광역시 남동구 간석동 614,063-1176-3121,,23,,,,,,✔,✔,,2040,9,,유화주,✔,류강백,<|SEAL|>,임종균,✔,1127761933,
G0047,,1930.12.27,체코,WANG MIGYO,010-4723-2701,모,경기도 이천시 증신로 296,,된장예술툇마루,추녀01.,과장,17,인천광역시 남동구 논현동 111-123,062-7023-2890,류쿠루미,1907-10-30,오만,BAEG PIBI,010-5283-7267,부,충청남도 청양군 대치면 청산로 561,031-7610-1976,팔민물장어직판장,길이는,COO,29,,041-2742-1478,,,동티모르,SA GONGNAMGIL,010-6868-4482,자녀,,041-7164-1937,수락산풍천장어,,부사장,9,경상북도 상주시 낙동면 물량리 119-1,054-5122-8619,"19,240,000",28,,,✔,,,✔,,✔,2004,12,12,여안준,<|SEAL|>,빈도요,<|SEAL|>,,<|SEAL|>,1127833391,
G0048,전화빈,,레바논,O EOLYEONG,,형제,경기도 의정부시 의정부동 343-141,031-5847-7771,리드코프,주위에,주임,7,경상남도 거제시 일운면 지세포로 66-1,,봉희훈,1945.04.04,,MIN HYESEON,010-9289-7273,부모,,,LG디스플레이,물체의,사원,8,충청남도 예산군 삽교읍 가리 19-2,051-0219-6687,갈우태,1941.3.22,몰디브,LYU GANG-I,010-5242-9142,,경상북도 영천시 고경면 호국로 332-40,,구이구이(롯데백화점 잠실점),있는,센터장,,,033-6599-3724,"79,340,000",5,✔,,✔,,,,,,2033,7,15,,<|SEAL|>,성의창,<|SEAL|>,당형국,✔,1286623946,
G0049,은새로,1916년 03월 25일,네팔,YEOM EUNJO,010-2784-0724,딸,,051-2786-7913,막내횟집,번호의,,28,강원특별자치도 원주시 호저면 칠봉로 14,051-2793-3399,성정애,2032년 07월 18일,카자흐스탄,JIN HI-EL,010-6375-6963,기타,전북특별자치도 남원시 이백면 과립리 522-15,042-8705-4140,,만들어,파트장,27,서울특별시 광진구 천호대로124길 60-13,061-3164-8579,빈은가비,1923년 7월 16일,일본,GUG JAESIG,,형제자매,광주광역시 서구 풍암동 995-4,064-9198-4726,,시기.,실장,11,서울특별시 동작구 사당로28가길 4,062-7047-1536,,,,,✔,,,,✔,,2030,,,,,곽윤술,<|SEAL|>,,,1311780312,
G0050,김대륜,1926/2/9,엘살바도르,,,형제,경상북도 성주군 월항면 안포1길 13-17,043-5234-7999,,중심.,전임,3,경기도 파주시 금촌동 942-6,052-7558-0781,갈강렬,1981-12-31,,GAN DAMHYEON,,손녀,,054-2345-0436,LG생활건강,음란성,,14,경기도 포천시 소흘읍 죽엽산로 45,,김문지,1975년 02월 26일,미국,,010-6462-4210,자매,전북특별자치도 남원시 주천면 내송길 33,,도봉산,관아를,부사장,5,전라남도 해남군 해남읍 용머리길 13,,8290000,,,,✔,,✔,,,,2007,2,17,마소량,<|SEAL|>,,✔,현이루미,<|SEAL|>,,LON5WIE
G0051,구재솔,1949.11.04,벨기에,,010-7386-1388,부,충청남도 부여군 규암면 나복리 344,044-6034-6342,"HJ중공업 (과거에는 대한조선공사, 한진중공업)",차례차례,,,충청남도 부여군 규암면 규암리 155-4,054-9572-2393,,1943.07.20,아르헨티나,,,조부,전라남도 장흥군 관산읍 동촌길 47-20,061-6346-3104,마칸 [임시휴업],금속판기와,,14,,051-5369-7714,선장석,,콜롬비아,NAM BOGEON,,자매,,043-2725-7206,SK인천석유화학,제공할,과장,8,,043-3587-4173,,28,✔,,✔,,✔,,,,,6,5,호다훤,,하수윤,<|SEAL|>,팽범교,✔,9876845547,
G0052,공려훈,1943년 02월 20일,프랑스,,010-1903-2130,형제자매,경기도 화성시 팔탄면 온천로 122-19,,비씨카드,어려울,상무,11,,02-352-0742,금찬휴,1915/4/11,요르단,JIN JUNHAENG,010-9373-0164,아들,강원특별자치도 춘천시 남산면 산수길 93,061-5573-4256,성수동 수제화 거리,줄다리기에서,,,충청북도 충주시 앙성면 새바지길 203-1,042-826-3312,,1923년 9월 12일,,,010-2656-1111,,경상남도 진주시 상대동 662,,쏘카,10020강,,,서울특별시 마포구 서교동 449-6,033-3482-3169,"9,790,000",1,,,✔,,,✔,,,2035,,,채직자,✔,배늘푸름,,황소인,,9483748726,LPHZTZB
G0053,,1907년 4월 1일,아르헨티나,,,형제,,051-0251-7680,마린칸토,매번,주임,12,강원특별자치도 횡성군 갑천면 대관대리 481-1,051-5005-6897,,1981.06.07,대만,,010-1455-7773,조부모,인천광역시 옹진군 영흥면 외리 68-199,,길손,,대리,9,전북특별자치도 고창군 대산면 지석리 319,061-9780-1016,현진현,1975.6.30,프랑스,,,조부,충청북도 옥천군 동이면 평산리 677-2,043-3899-1072,,연결하는,감사,,강원특별자치도 춘천시 온의동 65-40,,,,,,,✔,,✔,,,,3,,육문아,✔,황솔이,<|SEAL|>,,<|SEAL|>,9767212195,L9VMLHI
G0054,,,,GYEONG JANG-YEONG,,자매,경기도 광주시 광주대로55번길 5,053-3442-3152,미진,조선,연구원,,경기도 구리시 사노동 293-9,063-8772-3719,피미혜자,,세르비아,,010-6711-4531,부모,경상남도 창원시 마산회원구 회원북3길 77,,잭슨 카멜레온,,,24,전라남도 목포시 석현마을길 97,031-6360-9051,,2046.9.2,몬테네그로,,,,전라남도 영암군 금정면 월평리 153,031-2920-3283,금현국악원,길흉화복을,연구원,18,전라남도 강진군 작천면 작천내동길 65-19,062-9839-2589,,2,,✔,,✔,✔,✔,,✔,2025,10,28,,✔,음설경,<|SEAL|>,제갈인설,<|SEAL|>,9755752064,LRU9JU0
G0055,좌민결,1939.10.06,알바니아,GU CHEONGLIM,,부,충청남도 당진시 송악읍 반촌리 794-20,064-4550-9975,마지,별로,CTO,16,부산광역시 서구 암남동 62-8,032-5983-7657,류가랑,,,PI JULYEONG,010-0805-0243,,,,대장장이화덕피자집,일으키는,,29,,042-9347-7946,,1910.5.3,몽골,,010-2325-7973,,경기도 수원시 장안구 서부로2181번길 20-3,,우리집 게스트하우스,저서에,,29,,02-261-3306,"47,660,000",13,,,✔,,,,,✔,,,11,오지사,,정빛솔,<|SEAL|>,이용건,<|SEAL|>,9207420889,L9ZCC9K
G0056,선헵시바,,,IM SEULHYE,010-4475-1604,,경기도 고양시 덕양구 통일로1108번길 39,031-8087-4152,,제멋이라오.,이사,,,,,1946년 08월 23일,,EO HYEJO,,조부모,전라남도 영암군 미암면 채지리 100,042-4700-2267,,3~5월이다,실장,31,광주광역시 남구 서문대로556번길 8,,예아리아김,2013/5/11,시리아,HA DO-YANG,010-5932-2337,,충청북도 옥천군 안남면 화학리 70,,봉추찜닭 명동중앙우체국점,모든,전무,16,경기도 파주시 문산읍 독산로31번길 73-1,051-7734-9202,"26,840,000",32,✔,,,,✔,✔,,,2033,,9,오진향,<|SEAL|>,인윈,✔,선윤국,,9441487081,LMXJ5WM
G0057,,1999/7/14,아일랜드,SIN SEONJAE,010-1382-7177,,,,팔민물장어직판장,어근.,부사장,3,,,문평,2016년 03월 15일,인도네시아,,010-3284-5781,,부산광역시 사상구 감전동 134-31,062-0808-9604,,,,6,서울특별시 강동구 천호대로176길 52-7,061-7663-2215,,2016년 9월 26일,알바니아,GEUM LAEHYEOG,010-9349-0023,아들,충청북도 청주시 청원구 수동로42번길 8,,한국생약협회,,CEO,22,충청남도 천안시 동남구 원성동 480-10,032-2165-3604,"75,630,000",18,,✔,✔,,,,,,,12,24,은두루,<|SEAL|>,,<|SEAL|>,,✔,,
G0058,피알리야,,미얀마,SON JIMAN,010-6475-6697,아들,부산광역시 사하구 오작로76번길 52-8,055-1763-0781,,"모르겠으나,",파트장,16,인천광역시 미추홀구 낙섬중로67번길 8-17,064-6226-2445,,1966년 01월 13일,,LA MYEONGCHAE,010-0407-6423,형제,서울특별시 강남구 도곡동 948-27,,일간스포츠,불교의,차장,19,,043-6884-1139,두미리내,2025.12.05,,GAM TAE-WON,,,충청북도 음성군 감곡면 석우길 16-7,,,,,13,,,,4,,,,,,,,,2022,11,,범토아,<|SEAL|>,,<|SEAL|>,,<|SEAL|>,1736138956,LW40GGB
G0059,시권일,,폴란드,,010-6089-6621,조부,충청북도 옥천군 군서면 월전2길 96-5,02-351-3378,제일약품,,차장,21,경기도 수원시 권선구 정조로398번길 15,,,2021/11/18,우크라이나,,010-8685-6522,본인,경상북도 청송군 진보면 시량리 295-5,051-6054-2875,,응용하여,차장,,전북특별자치도 전주시 완산구 안터4길 3,02-500-5825,한규람,1958년 6월 14일,쿠바,LA YUNCHAE,,아들,,044-1688-0474,,,COO,30,경상북도 포항시 남구 동해면 석리 124-5,,,16,✔,,✔,✔,✔,,,✔,2031,2,,,,예화평,<|SEAL|>,,<|SEAL|>,1515462528,
G0060,,1963년 2월 12일,,,,아들,경상남도 김해시 태정1길 17,,YG플러스,되는,사원,25,대구광역시 북구 칠곡중앙대로46길 40,,,1946.6.15,,MA SANG-O,,아들,,033-6720-5317,,집단.,,,,052-3948-1115,정순련,2044년 03월 20일,룩셈부르크,CHU BEOMSEUNG,010-0181-9259,친척,경기도 포천시 소흘읍 이동교리 338-17,052-383-3974,지화자,길이가,파트장,14,서울특별시 용산구 한강로1가 24-1,053-4022-3115,"29,280,000",36,✔,✔,✔,,✔,,,,2005,,30,조륜혜,✔,마혜량,,,<|SEAL|>,9906831836,L95RNLK
G0061,오인나,,,IN HYANGLIM,,,,,나무그늘park,만듦.,부사장,4,경상북도 포항시 남구 대송면 제내리 1157,,가태량,,,GAL INHUN,010-2681-2786,딸,,,호서대학교,학생들에게,사원,24,경상남도 합천군 초계면 양동로 200-2,,옥광호,,,JEON ONNULI,010-2589-1429,자녀,세종특별자치시 장군면 태산길 95-5,,현대카드,편작의,,16,경기도 성남시 수정구 수정로170번길 20-9,052-3596-9247,"41,450,000",,✔,✔,,,,,,,2034,11,,민미오리,<|SEAL|>,염소하,✔,고인택,<|SEAL|>,,LYSCSN2
G0062,엄지일,1936년 11월 23일,이탈리아,GUG DO-WON,010-1588-6607,,,,삼학도,"궁중에서,",부문장,,,064-9003-6262,편경완,2024/10/18,영국,,010-9449-7697,부,,,메리츠금융지주,데에,CEO,26,충청남도 천안시 동남구 목천읍 교촌리 45-6,,봉아즈사,1930.4.16,러시아,CHU GANG-YEOB,010-4982-2354,모,,,,극이,전무,4,전북특별자치도 무주군 안성면 공정리 357-3,051-3160-9270,2390000,7,,,,,,✔,,,2027,12,23,반균하,<|SEAL|>,이창우,,모형경,,1122055614,
G0063,정율교,1901-01-03,,,010-6242-1131,자녀,경상북도 포항시 북구 청하면 소동리 34-2,063-7328-1797,쌍용그룹,행사하는,,,경상남도 김해시 삼정동 98-6,031-9768-0070,백온리,,체코,WI UISEO,010-4556-9142,조부모,강원특별자치도 영월군 산솔면 녹전리 653,,약업신문,짠,부회장,18,,061-5004-8936,,2012년 8월 1일,헝가리,,010-1144-7137,아들,대구광역시 동구 도장길 72,055-4456-1491,한국개발협력진흥원,맡아,,,경상북도 안동시 안흥동 356-16,041-0406-1322,"78,650,000",,,✔,,,,,,,2015,11,25,,<|SEAL|>,부석용,<|SEAL|>,엄인솔,<|SEAL|>,,LDOA4R6
G0064,서상구,,몰디브,DU LIJE,,부,경상북도 안동시 남선면 이천리 113,062-9685-1221,이화명주,,감사,3,충청북도 진천군 진천읍 사석리 163,,,,벨기에,JEONG JUNGBIN,,배우자,서울특별시 용산구 효창원로26가길 5,,[백년가게] 나주곰탕우정집,,CTO,11,서울특별시 은평구 연서로34가길 3,,마임영,2044.4.19,말레이시아,HAN HYANGHWA,,,울산광역시 울주군 두서면 유촌길 83-2,062-4616-3494,거울한옥 미러룸,속하던,전무,18,서울특별시 종로구 인사동 227,041-8978-1402,,15,✔,,✔,,,,✔,,,,23,심여레,<|SEAL|>,기다솜,<|SEAL|>,명단하,,9485958924,
G0065,남청준,2003/10/24,아르헨티나,,010-2265-3920,,충청남도 공주시 사곡면 고당리 304,,한옥 카페 연(緣),,파트장,,,043-9954-0604,류시랑,,포르투갈,BEOM DONGJU,010-3579-1502,조모,충청북도 청주시 청원구 율봉로191번길 28,,목동 아이스링크,,파트장,19,,,목호겸,1918-05-12,,HYEON HA-YUN,010-0135-4770,손자,전라남도 보성군 벌교읍 장양리 200-1,,모퉁이와플 & 모퉁이피크닉,,,18,인천광역시 옹진군 영흥면 내리 96,02-222-1162,,14,,✔,,,,,✔,,2001,,14,복현신,<|SEAL|>,도이롬,<|SEAL|>,,<|SEAL|>,1596142962,LSTLGYJ
G0066,,1945.6.4,베트남,BU SULIM,,,,042-3659-7173,이소정 한복명장연구소,또는,파트장,25,충청남도 서산시 부석면 창리 293-24,,나행지,1913년 07월 17일,몬테네그로,JEON USEUNG,010-6385-6245,딸,경기도 파주시 산남로231번길 46,061-2914-7500,금호아시아나그룹,감고하여,상무,23,경상북도 구미시 고아읍 문성리 37,064-916-9168,방일연,1982.10.18,홍콩,,010-1884-1813,부모,세종특별자치시 연서면 월하리 682-8,043-6587-6472,이비스스타일 앰배서더 명동 르스타일 레스토랑&바,뭉쳐나고,과장,28,경상북도 성주군 대가면 흥산리 325-7,054-5544-3964,45160000,9,,✔,,,,,,,2026,12,14,원민엽,✔,설시운,<|SEAL|>,선우루이즈,<|SEAL|>,1931819545,
G0067,,2018년 10월 01일,,BYEON JAESEONG,,배우자,경기도 이천시 부발읍 마암리 143-2,,,조직하였다.,파트장,23,경기도 안산시 단원구 석수동길 6,,,1978년 6월 14일,,SA DONGSIL,010-8110-6408,배우자,경상북도 경주시 북부동 156,031-6393-4254,문래포차1422,치인01,,9,인천광역시 강화군 강화읍 신문리 590-5,053-7193-0695,간동규,,벨기에,,,,경상남도 창원시 의창구 서상동 702-13,,,상롱하다,,11,대구광역시 동구 효목동 139-10,062-8703-8770,"26,460,000",,✔,,,,,✔,,✔,2039,3,,,✔,조한백,<|SEAL|>,,,9984189578,L3O56JP
G0068,편영,,캐나다,GUG GEONHUN,010-8931-1400,기타,전라남도 보성군 벌교읍 백천길 49-6,064-5916-2333,,삼함02이라,,25,경기도 성남시 수정구 수정남로 245,031-1619-1778,남궁명범,1972/8/5,일본,HAM GONGJU,,손녀,충청남도 예산군 삽교읍 평촌리 50-2,051-5465-3582,동경전통육개장,차지하는,CFO,1,광주광역시 광산구 삼도세동길 36-4,,,1922년 5월 30일,,YONG HEDEO,,손자,강원특별자치도 홍천군 영귀미면 후동리 96-2,064-6643-2486,,,,2,,051-1107-0530,59360000,26,,✔,✔,✔,,,,,,5,7,형정률,<|SEAL|>,,<|SEAL|>,홍성환,<|SEAL|>,1344746207,L0EOHQC
G0069,,,동티모르,,010-8744-0633,형제자매,세종특별자치시 전동면 도청길 23,054-0953-4188,,해서,사원,,경기도 화성시 봉담읍 복만터길72번길 7-18,041-2156-7983,길한철,2013년 07월 08일,중국,MAENG HAESBICH,,조부,부산광역시 해운대구 반여동 1206-32,033-1355-3716,청담 패션 거리,목재의,부회장,11,전라남도 순천시 해룡면 상비길 46,,,,,KIM HAMIN,010-5874-1967,손녀,전라남도 무안군 청계면 청수길 152-7,,"보광그룹 (휘닉스, 코아로직)",,,28,전북특별자치도 익산시 남중동 348-6,061-9310-1663,,17,,✔,,,,,,,,5,,천유슬,<|SEAL|>,민한세,<|SEAL|>,,,,LWO7G3O
G0070,곽수기,1949/9/18,벨기에,GONG NAHA,010-9223-1145,,경상북도 영주시 조암로 272-59,02-207-3718,스타쉽 엔터테인먼트,흥업,상무,17,강원특별자치도 영월군 남면 토교리 1055-1,062-9689-6047,,2031.6.20,,MIN DASEON,010-9674-0877,손자녀,전라남도 목포시 산정동 1080-569,052-5548-8297,HD현대,,,,경기도 이천시 백사면 청백리로337번길 58-28,053-2231-8137,반은강,,멕시코,WON CHAN-UI,010-3338-2458,아들,제주특별자치도 제주시 신산로13길 3,,,견실함에,,4,,033-1449-4094,"21,350,000",35,,,,,,,,,,,,맹심결,✔,피수정,<|SEAL|>,남해심,,,LTT0NJZ
G0071,팽수흔,2045.7.23,동티모르,TAE GYUSEONG,,손녀,전라남도 무안군 청계면 무안로 96,044-0609-1264,김중업 건축문화의집,생기는,차장,,부산광역시 사상구 학장동 262-2,02-574-5684,,,,SEO MUNKATALINA,010-3000-5987,형제자매,전라남도 나주시 가야길 586-69,,홍복,핀다.,,,경상북도 안동시 옥야동 348-36,,전애가,2048-09-11,네덜란드,MIN GEUMJI,010-7407-1606,조모,경상남도 합천군 야로면 하림1길 111,062-3648-4401,,서체.,인턴,18,인천광역시 강화군 길상면 초지리 1189-22,,"8,860,000",,,,✔,,,,,,,10,5,송여라,<|SEAL|>,,✔,명유엘,,1702687634,LA01A8Z
